depth,age,accrate,Acer,Alnus glutinosa type,Betula pendula/pubescens type,Castanea sativa,Celtis australis type,Corylus avellana,Fagus sylvatica,Frangula alnus,Fraxinus angustifolia type,Juglans regia,Juniperus type,Olea europaea,Pinus,Populus,Quercus ilex type,Quercus pyrenaica/faginea type,Quercus suber type,Salix,Tamarix,Ulmus,Arbutus unedo,Calluna vulgaris,Cistus,Crataegus type,Ephedra distachya type,Ephedra fragilis type,Erica arborea/scoparia type,Erica australis type,Erica tetralix type,Erica umbellata,Erica undiff.,Genista type,Helianthemum,Lamiaceae 6-colpate,Ligustrum vulgare type,Lonicera periclymenum type,Myrtus communis,Phillyrea,Pistacia,Prunus type,Rhamnus,Rosa type,Rubus type,Sambucus nigra type,Thymelaeaceae,Viburnum tinus type,Vitis vinifera,Agrimonia,Allium type,Anagallis type,Anthemis type,Anthriscus sylvestris type,Aphanes,Apiaceae,Arenaria type,Artemisia,Asphodelus,Aster type,Astragalus type,Boraginaceae undiff.,Brassicaceae,Bryonia dioica type,Bupleurum type,Campanula type,Campanulaceae,Cannabis sativa type,Cardueae,Caryophyllaceae undiff.,Centaurea cyanus type,Centaurea nigra type,Centaurea scabiosa type,Cerastium type,Cerealia type,Chelidonium majus type,Chenopodiaceae,Cichorioideae,Consolida,Convolvulaceae,Corrigiola litoralis type,Corrigiola telephiifolia type,Daucus type,Echium,Eryngium type,Fabaceae undiff.,Filipendula,Gentianaceae,Geranium,Herniaria,Humulus lupulus,Hypericum perforatum type,Illecebrum verticillatum,Jasione type,Liliaceae undiff.,Linaria type,Linum catharticum type,Lotus type,Minuartia type,Papaver rhoeas type,Paronychia type,Pimpinella major type,Plantago coronopus type,Plantago lanceolata type,Plantago major type,Plantago maritima type,Plantago undiff.,Poaceae,Polygala vulgaris type,Polygonum aviculare type,Potentilla type,Rosaceae undiff.,Rubiaceae,Rumex acetosa/acetosella type,Rumex obtusifolius type,Sagina,Sanguisorba minor type,Scabiosa,Scandix pecten-veneris type,Scilla type,Scleranthus,Scrophulariaceae,Secale,Sedum type,Silene dioica type,Silene vulgaris type,Smyrnium type,Spergularia type,Stachys type,Teucrium type,Trifolium pratense type,Trifolium repens type,Tuberaria,Urtica dioica type,Urtica pilulifera type,Valeriana officinalis,Vicia/Lathyrus type,Alisma,Caltha palustris,Cyperaceae,Drosera rotundifolia type,Lythrum hyssopifolia type,Lythrum portula type,Myrica gale,Myriophyllum spicatum,Oenanthe,Parnassia palustris,Potamogeton,Ranunculus,Sagitaria sagittifolia,Thalictrum,Typha/Sparganium,Utricularia,Isoetes,Monolete,Ophioglossum type,Pteridium aquilinum,Selaginella type,Trilete,Cercophora type,Gelasinospora,Podospora type,Sordaria type,Sphagnum,Sporormiella type,Tilletia sphagni,,CHAR (# cm-2 yr-1),Charcoal concentration (# cm-3),,Lycopodium exotic marker pollen,Lycopodium tablets,Nr Lycopodium spores/tablet,Unidentified,Volume (cm3),,Obligate coprophilous fungi infl.,Podospora type infl.,Sordaria type infl.,Sporormiella type infl.
1,48,4,0,0,0,0,0,2.8,0,0,0,0,1.9,2.8,3.8,0,16,14.2,6.6,0,0,0,0,0,2.8,0,0,0,15.1,0,10.4,0,1.9,0.9,0,0,0,0,0,0.9,0,0,0.9,0.9,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,2.8,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,7.5,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.8,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.8,50.9,0,,,,,75,2,13911,,0.5,,9677.21739130435,0,509.327231121282,9167.89016018307
2,61,5,0,0,0,0,0.3,0,0,0,0,0,0.3,3.8,3.5,0,10.2,12.1,3.2,0,0,0.3,0.3,0,1.6,0,0,0,27.7,2.2,12.4,0,0,1,0,1,0,0,0,1.6,2.5,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.6,0,1.6,0,0,1,0,0,0,0,0,0.3,0,0,0,0,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,1,0.3,0,0,5.7,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,1,0.3,0,0,0.3,0,0,0,0,0,0,0,0,143.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3,0.3,2.9,0.3,,6004.300459,26899.26606,,79,2,9666,,0.6,,910.375226039783,0,91.0375226039783,819.337703435805
3,80,5,0,0,0,0,0,0,0,0,0.3,0,0,6.9,3.4,0,11.6,7.5,0.6,0.3,0,0,0,0,4.4,0,0,0,27,2.2,2.8,0,0,0.3,0,0,0,0,0.3,2.2,0,0,0,0,0,0,0,0.3,0,0,0,0,2.5,0,0,0.3,0,0.6,0,1.6,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0,1.6,0,0,0,16.9,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,2.2,0,0,0,353.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,4.7,5.3,0.3,,19832.94607,95396.47059,,113,2,9666,,0.6,,1185.58313248579,0,177.837469872868,1007.74566261292
4,102,6,0,0,0,0,0,0,0,0,0.3,0.3,0,6.2,1.3,0,10.8,6.9,1.3,0.7,0,0,1.3,1.6,2,0,0,0,22.3,1.6,3.3,0,0.3,1,0,0.3,0,0,0.3,2,0,0,0,0,0,0,0,0,0,0,0.3,0,3,0,0,0,0,0.3,0,1.3,0,0,0.3,0,0.3,0,0,0,0.3,0,0,0,0,0,0.7,0,1.3,1.3,0,0,0,0,0,3,0.3,0,0.3,0.3,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,1.6,0,0,0,15.1,0,0,0,0,0,3.9,0,0,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0.3,0,0.7,0,0,0,0,0,0,0,0,16.7,0,0.3,0,16.4,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0.3,0,0,0,0,3.9,5.2,4.3,89.2,2,,3629.791131,19419.38255,,400,2,13911,2,0.5,,7800.56074766355,312.022429906542,416.029906542056,7072.50841121495
5,126,6,0,0,0,0,0,0,0,0,0,0,0.3,3.9,1.9,0,4.5,12,0.3,0.3,0,0,1.6,0.6,9.4,0,0,0,29.2,2.3,8.4,1.3,0,0.6,0.6,1,0,0,0,1.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,1.3,0,0.3,0,11.4,0,0,0,0,0,1.3,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0,10.4,0,0,0,15.3,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,0,1,0.6,8.8,0.6,,3910.774813,23816.61861,,355,2,9666,1,0.7,,383.225461141232,0,38.3225461141232,344.902915027109
6,148,5,0,0.3,0.7,0,0,0,0,0,0.3,0,0,4,2,0,7.6,11.6,1,0,0,0,1.3,2.7,6.3,0,0,0,25.2,2.7,6.6,1,0,0.3,0,1.3,0,0,0.7,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.7,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.7,0,0,0.3,0,0,0,0,0,0,0.7,0,0.3,0,0,0,0,0,0,0.7,1,0.3,0,0,13.3,0,0,0.3,0,0,0.7,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,0,78.4,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,1,0,0.3,1.7,4,0.3,,7057.79693,49757.46835,,281,2,9666,3,0.6,,211.433330809419,0,16.2641023699553,195.169228439464
7,171,5,0,0,0,0,0,0,0,0,0,0,0,3.9,1,0,5.2,9,0.6,0.3,0.3,0,1,2.3,5.8,0,0,0,37.7,2.6,8.4,1.3,1.3,1,0,2.6,0,0,0.3,0.6,0,0,0,0,0,0,0,0,0.3,0,0.6,0,0.3,0,0,1,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,1,0,0,0,0,0,0,0,0.6,0,0,0,4.2,0,0,2.9,0,0,0.6,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,17.1,0,0,0,6.5,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1.6,0,1,0,17.1,0,,24869.87163,204430.3448,,134,2,9666,2,0.6,,1638.0869375749,0,87.7546573700839,1550.33228020482
8,183,6,0,0,0.5,0,0,0,0,0,0.5,0,0,1.9,0.5,0,1.9,8.4,3.7,0,0,0,0.5,3.7,9.8,0.9,0,0,27.1,4.2,9.3,1.4,0.5,0.5,0,0.9,0,0,0.9,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.5,0,0,0,8.4,0,0,4.2,0.5,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,20.1,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,3.7,0,0.5,0.5,15,0,,21495.83026,191097.931,,99,2,9666,2,0.6,,1208.09898762655,0,36.6090602311075,1171.48992739544
9,195,6,0,0,0,0.3,0,0,0,0,0.3,0,0,2.3,1,0,1,7.2,1.6,0,0,0,2.9,1.6,4.6,0.3,0,0,15.7,4.6,20.9,1.3,5.2,1,0.7,1.6,0,0,0,2.6,0,0,0.7,0,0,0,0,0,0,0,0,0,0.3,0,0,1,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.3,0,0,0.3,0,0,0.3,0,0,0.3,0.3,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0.7,0.7,0,0,0,12.7,0,0,0.3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,0,15.4,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0,3.3,0,,13918.79452,133759.6154,,161,2,13911,2,0.6,,359.640902010716,29.9700751675597,29.9700751675597,299.700751675597
10,206,5,0,0,0.3,0,0,0,0,0,0,0,0,3.5,0.3,0,3.5,2.6,0.3,0,0,0,1.3,2.3,4.5,0,0,0,23.8,3.9,10.3,0.6,1,1,0.6,0.3,0,0,0.3,1.9,0.3,0.3,0,0.6,0,0,0,0,0,0.3,0.3,0,1,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,5.8,0,0.3,0,0,0,0.3,0.3,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,1.3,1.9,0,0,0,19,0,0,1.6,0,0,1,0,0,0,0,0,0,0,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0,0,0,0,7.4,0,0,0,24.8,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,2.3,0,1,1.9,6.8,0,,40468.81617,420471,,104,2,9666,2,0.6,,715.628933145776,0,89.453616643222,626.175316502554
