taxa,functional_group
Alisma plantago-aquatica type,riverine community
Allium type,grassland
Alnus glutinosa type,temperate forest
Anagallis tenella type,ruderal
Anthemis type,grassland
Aphanes arvensis type,ruderal
Apiaceae,grassland
Apium inundatum type,riverine community
Arbutus unedo,Mediterranean community
Arenaria serpyllifolia type,ruderal
Artemisia vulgaris type,grassland
Asphodelus,grassland
Aster type,grassland
Astragalus type,shrubland
Betula pubescens type,temperate forest
Boraginaceae undiff.,ruderal
Brassicaceae,ruderal
Bupleurum falcatum type,grassland
Calluna vulgaris,heathland
Caltha palustris type,riverine community
Cannabis sativa type,cropland
Cardueae,ruderal
Castanea sativa,temperate forest
Centaurea cyanus type,cropland
Centaurea nigra type,grassland
Cerealia type,cropland
Chenopodiaceae,cropland
Cichoriodeae,grassland
Cistus type,shrubland
Corrigiola litoralis type,ruderal
Corylus avellana,temperate forest
Crataegus type,shrubland
Cynoglossum officinale type,ruderal
Cyperaceae,riverine community
Daucus carota type,grassland
Deciduous Quercus,temperate forest
Drosera rotundifolia type,riverine community
Echium vulgare type,ruderal
Ephedra distachya type,shrubland
Ephedra fragilis type,shrubland
Epilobium type,riverine community
Erica arborea type,heathland
Erica australis,heathland
Erica tetralix type,heathland
Erica umbellata,heathland
Ericaceae undiff.,ruderal
Eryngium campestre type,grassland
Euphorbiaceae,ruderal
Fabaceae undiff.,shrubland
Filipendula vulgaris type,shrubland
Frangula alnus,shrubland
Fraxinus angustifolia type,temperate forest
Gelasinospora,fungal spores
Genista type,heathland
Gentianaceae,shrubland
Helianthemum type,shrubland
Heliotropium europaeum type,ruderal
Hypericum elodes type,ruderal
Hypericum perforatum type,shrubland
Isoetes,riverine community
Jasione type,grassland
Juglans regia type,temperate forest
Juniperus type,shrubland
Lamiaceae 6-colpate,shrubland
Ligustrum vulgare type,shrubland
Liliaceae undiff.,ruderal
Linaria type,ruderal
Lonicera periclymenum type,temperate forest
Lotus type,shrubland
Lysimachia vulgaris type,ruderal
Lythospermum officinale type,ruderal
Mercurialis annua type,ruderal
Minuartia rubra type,ruderal
Myosotis arvensis type,ruderal
Myrica gale,temperate forest
Myriophyllum verticillatum,riverine community
Myrtus communis,Mediterranean community
Oenanthe fistulosa type,riverine community
Olea europaea,Mediterranean community
Ophioglossum type,fungal spores
Papaver rhoeas type,cropland
Paronychia type,ruderal
Pedicularis sylvatica type,riverine community
Phillyrea angustifolia type,Mediterranean community
Pinus,Mediterranean community
Pistacia,shrubland
Plantaginaceae,ruderal
Plantago coronopus type,ruderal
Plantago lanceolata type,ruderal
Plantago major/media,ruderal
Pleurospermum austriacum type,grassland
Poaceae,grassland
Podospora type,fungal spores
Polygala vulgaris type,shrubland
Populus,temperate forest
Potentilla type,shrubland
Prunus type,shrubland
Pteridium aquilinum,heathland
Quercus ilex type,Mediterranean community
Quercus suber type,Mediterranean community
Ranunculus,riverine community
Resedaceae,ruderal
Rhamnus,shrubland
Rhinanthus type,ruderal
Rosa type,shrubland
Rosaceae undiff.,shrubland
Rubiaceae,shrubland
Rubus type,shrubland
Rumex acetosa/acetosella type,grassland
Rumex obtusifolius type,ruderal
Ruta montana type,ruderal
Salix,temperate forest
Sanguisorba minor type,shrubland
Scandix pecten-veneris type,cropland
Scrophulariaceae,ruderal
Sedum type,ruderal
Silene dioica type,ruderal
Silene vulgaris type,ruderal
Sordaria type,fungal spores
Spergula arvensis type,ruderal
Sphagnum,riverine community
Sporormiella type,fungal spores
Stachys type,shrubland
Succisa pratensis type,grassland
Taxus,Mediterranean community
Teucrium type,shrubland
Thymelaeaceae (Daphne),shrubland
Tilletia sphagni,fungal spores
Trifolium pratense type,grassland
Trifolium repens type,grassland
Trilete,fungal spores
Tuberaria type,Mediterranean community
Viburnum tinus type,Mediterranean community
Vicia/Lathyrus type,ruderal
Vitis vinifera,Mediterranean community
