|0|1|2|sum
Ulmus|2.923909842521811e-37|0.237423429557068|0.4561953440915857|0.6936187736486537
Convolvulaceae|0.23503696014855346|0.14012345886960717|0.19821728815643763|0.5733777071745982
Cardueae|0.033110429973313364|0.190144450649913|0.32979230140308896|0.5530471820263153
Centaurea|0.3176375608384575|0.15775218351154674|0.004354826618606039|0.4797445709686103
Lamiaceae|0.01472674191866002|0.26211710934815097|0.19937243505958097|0.47621628632639196
Galium|2.923909842521811e-37|0.20987400689797667|0.2539396739685099|0.46381368086648656
Rosaceae|0.2691596064143975|0.17122536097151364|1.568235982839957e-14|0.44038496738592686
Ranunculus|2.923909842521811e-37|0.15198345604172078|0.2854690071894993|0.4374524632312201
Fabaceae|0.13999879563077872|0.2714449122405282|2.1186868128167812e-11|0.4114437078924938
Pinus|0.02658250097231584|0.06821742060591648|0.28065943528467513|0.37545935686290743
Cichorioideae|0.05447213062081766|0.3113223337007261|1.568235982839957e-14|0.3657944643215595
Berberidaceae|0.2593563711618242|0.041038070908932925|0.04910145534437088|0.349495897415128
Rubiaceae|0.34355461292716694|0.0016709219195422894|0.0004892193290724058|0.3457147541757816
Helianthemum|0.21311441868660952|0.12840995073457143|0.0036776923749528494|0.3452020617961338
Ephedra distachya|0.19427799744835897|1.78224916490837e-19|0.15028040298633086|0.3445584004346898
Ranunculaceae|0.2225011803904367|0.1190972525442642|0.00044517306564320505|0.3420436060003441
Juglans|2.923909842521811e-37|0.02449507952703966|0.28460090833980184|0.3090959878668415
Lotus type|0.1514468479599366|0.0867240300077328|0.06734970433065161|0.305520582298321
Brassicaceae|2.923909842521811e-37|0.062277926362665346|0.24247479311970585|0.3047527194823712
Plantago|2.923909842521811e-37|0.19083928474029607|0.10332453996103137|0.29416382470132746
Chenopodiaceae|0.008246881599208111|0.24571355992080796|0.03763001726015422|0.2915904587801703
Rumex|0.14125641103721198|0.11123789085883967|0.005645657193269832|0.25813995908932147
Tilia|0.04665130163747145|0.08842309900376366|0.12266833338017763|0.25774273402141273
Apiaceae|0.25490988857081726|3.9209481627984146e-18|0.00014612850509443083|0.2550560170759117
Fraxinus|0.02648544602316629|0.06679034624844403|0.1526388585400046|0.24591465081161493
Trifolium type|0.18070953520951505|0.06338435842689308|1.568235982839957e-14|0.2440938936364238
Quercus perennifolio|0.23903147077531892|0.0016707659430558002|1.568235982839957e-14|0.2407022367183904
Fagus|2.923909842521811e-37|0.08500633105376781|0.14679376857970108|0.2318000996334689
Urticaceae|0.00529963464330009|0.18956135940369134|0.036353278927127704|0.23121427297411912
Boraginaceae|0.22965056031297235|1.78224916490837e-19|0.001498846694795035|0.23114940700776737
Papaver|0.1992973575577754|0.02449507952703966|0.006610106000312425|0.23040254308512748
Salix|0.12031695833980897|0.10316546297285786|0.00014612850478078364|0.22362854981744762
Cistaceae|0.21986250110035055|1.78224916490837e-19|1.568235982839957e-14|0.21986250110036623
Pistacia|0.14125641103721198|0.07583910563184328|3.3089779237923085e-12|0.2170955166723642
Quercus caducifolio|0.09417494947746285|0.11539790028449631|1.568235982839957e-14|0.20957284976197485
Asteroideae|2.0467368897652685e-35|0.19793760107424174|3.293295563963909e-13|0.19793760107457106
Acer|0.036047413417182254|1.78224916490837e-19|0.15997992462691074|0.196027338044093
Liliaceae|0.016271758987464906|0.17509997144613565|0.004354826618606039|0.1957265570522066
Thymelaeaceae|2.923909842521811e-37|0.190144450649913|1.568235982839957e-14|0.1901444506499287
Scrophulariaceae|0.0277932222270277|0.16057369059170637|3.293295563963909e-13|0.1883669128190634
Caryophyllaceae|2.923909842521811e-37|0.08073563618960457|0.1045903963687138|0.18532603255831837
Oleaceae|0.016497557800186448|0.010592146518570579|0.1546994549414594|0.18178915926021644
Tamarix|0.0023572926416556383|0.17130310044149946|0.0005097429056284639|0.17417013598878356
Olea|2.923909842521811e-37|1.78224916490837e-19|0.1656826135696758|0.1656826135696758
Crassulaceae|2.923909842521811e-37|0.12730127453646153|0.03763001726015422|0.16493129179661575
Abies|0.1264867534363944|0.018588596677445373|0.015083423096736291|0.16015877321057606
Valerianaceae|2.923909842521811e-37|0.15775218351154674|0.0017175769687696248|0.15946976048031636
Saxifragaceae|0.014249717843580244|0.0024218853146942823|0.12697622789091262|0.14364783104918716
Genista|0.036047413417182254|0.052723376768665994|0.051824939823488216|0.14059573000933645
Hereda helix|2.923909842521811e-37|0.13578975262604545|0.001960115406198907|0.13774986803224437
Poaceae|0.03230319878802643|0.05816118144092879|0.04354464538395161|0.13400902561290684
Sambucus|0.06281774890666764|0.05407990647018636|0.0146930191835812|0.1315906745604352
Viburnum|0.028844757088418476|0.09871056984662788|1.568235982839957e-14|0.12755532693506202
Euphorbiaceae|4.0642346811053197e-35|0.1155331634969746|0.002008589600407816|0.1175417530973824
