depth,age,abies,acer,alnus,amaranthaceae,apiaceae,aristolochia,artemisia,asphodelus,asplenium,asteroideae,berberidaceae,betula,boraginaceae,botrychium,brassicaceae,buxus,campanulaceae,cardueae,carpinus,caryophyllaceae,castanea,centaurea,cichorioideae,cistaceae,convolvulaceae,corydalis,corylus,crassulaceae,cyperaceae,dipsacoideae,droseraceae,ephedra distachya,ephedra fragilis,epilobium,ericaceae,erodium,euphorbiaceae,fabaceae,fagus,fraxinus,galium,genista,gentiana,geraniaceae,hedera helix,helianthemum,ilex aquifolium,iridaceae,isoëtes,juglans,juncus,juniperus,lamiaceae,lemna,liliaceae,linum,lonicera,lotus-type,lythrum,myrtus,olea,oleaceae,orobanchaceae,papaver,pedicularis,phillyrea,pinus,pistacia,plantago,poaceae,poaceae (cerealia),podospora,polygonaceae,populus,potamogeton,potentilla,primulaceae,quercus (deciduous),quercus (evergreen),quercus faginea,ranunculaceae,ranunculus,rhamnus,ribes,rosaceae,rubiaceae,rumex,salix,sambucus,saxifragaceae,scrophulariaceae,sedum,selaginella,sordaria,sparganium,sporormiella,tamarix,taxus,thalictrum,thymelaeaceae,tilia,trifolium-type,typha,ulmus,urticaceae,valerianoideae,viburnum,viscum album,vitis
0.5,-56.9,1,,,10,,,2,,,,1,2,,,2,1,1,1,,,2,,,1,,,2,1,2,,,,,,2,,,2,1,6,,8,,,,,,2,,,,8,8,,2,,,1,,,10,,,,1,,189,,1,12,2,,,,1,1,4,8,25,14,2,1,,,1,,1,,,,3,,,,,,,,1,,,1,,,5,,,,
5.5,-50.33333,1,,,11,1,,2,,,2,,2,1,,3,2,,1,,1,1,,2,,,,2,,2,,,,,,1,,,5,5,2,,5,,,,,,,,1,,15,2,,,,,,,,18,,,,,,149,,2,22,1,,,,1,,,17,24,13,5,3,,,3,,1,1,1,,2,,,,,,,,2,,,1,1,1,2,,1,,
10.5,-42.11428,,,,13,2,,3,,,,,3,,,2,1,,,,,4,,1,,,,5,1,2,,,,,,1,,,4,3,3,1,1,,,,,,1,,,2,8,3,,1,,,4,,,12,,,,1,,206,,2,14,2,1,,,3,,3,9,5,1,6,5,,,1,,2,2,,1,1,,,,,,,,,,,1,,,2,,,,
15.5,-30.46667,,,,13,,,6,,,2,,1,,,3,1,1,3,,1,4,,7,,,,2,,1,,1,,3,,1,,,4,,1,1,1,,,,,,,,,1,6,5,,,,,2,,,15,2,,,,,252,,,18,1,,,,1,,3,10,8,4,4,2,,,2,,1,2,,1,1,,1,,,,,,1,,,,,,3,,,,
20.5,-13.25,,,,6,3,,5,,,4,,2,,,1,,,,,,2,2,2,,,,4,,5,,,,1,,1,,,4,4,2,,3,,,,,,,,2,,9,6,,,,,,,,32,,,,1,,141,,2,18,1,,1,,1,,2,11,15,14,4,3,,1,3,,3,,,1,4,,,,,,,,1,,1,,3,,6,,,,
25.5,1325,,,,8,2,,3,,,2,,2,1,,1,,4,1,,,1,,1,,,,2,1,3,,,,,,2,,,1,4,2,1,2,,,,,,,,1,,16,4,,,,,1,,,30,,,2,,,144,,4,22,1,,,,3,,1,12,13,7,4,4,,1,1,,2,,,3,2,,,,,1,,,,,,2,,,3,,,,1
30.5,19.02857,,,1,7,,,4,,,1,,1,,1,,,1,,,1,1,,5,,1,,,,6,,,,,,1,,,1,3,3,1,4,,,,,,1,,1,1,3,3,,,,,1,,,27,1,,1,,,165,,2,22,,,,,,,,12,14,4,2,1,,2,,,2,,1,2,1,,,,,,,,,,,,,,5,,,,
39.5,65.1,,,,14,,1,16,,,4,,1,,2,2,,,1,,4,,3,4,,,,1,,2,,,,1,,1,,,14,2,15,,4,,,,5,,,,,,9,7,,,,,1,,,40,4,,,1,,92,,1,20,,,,1,,,4,9,6,3,8,1,,,5,,,,1,1,4,,1,,,,1,,3,,,2,,,1,,,,1
40.5,70.85,,,,20,2,,9,,,1,,1,,,1,2,,,,1,4,,3,,,,1,1,5,,,,,,,,,9,2,2,,2,,,,,,1,,1,,10,4,,1,,,,,,58,,,,1,,74,,1,20,,,1,1,2,,4,15,11,4,7,5,,1,1,,2,,,1,2,,2,,,,1,,3,,,3,,1,4,,,,
45.5,98.14,,,,10,1,,2,,,5,,3,,,,,1,2,,,2,1,10,,1,,2,,3,,,,1,,3,,,1,3,1,1,,,,,3,,2,,,,7,5,,,,,2,,,22,,,,,,176,,1,29,,2,,,1,,4,6,2,,2,4,,,2,1,,2,,,1,,6,1,,2,2,,1,,,1,,1,3,,,,
