age,Abies,Acer,Alnus,Amaranthaceae,Apiaceae,Aristolochia,Artemisia,Asphodelus,Asteroideae,Berberidaceae,Betula,Boraginaceae,Brassicaceae,Buxus,Campanulaceae,Cardueae,Carpinus,Caryophyllaceae,Castanea,Centaurea,Cichorioideae,Cistaceae,Convolvulaceae,Corydalis,Corylus,Crassulaceae,Cyperaceae,Dipsacoideae,Droseraceae,Ephedra distachya,Ephedra fragilis,Epilobium,Ericaceae,Erodium,Euphorbiaceae,Fabaceae,Fagus,Fraxinus,Galium,Genista,Gentiana,Geraniaceae,Hedera helix,Helianthemum,Ilex aquifolium,Iridaceae,Juglans,Juniperus,Lamiaceae,Lemna,Liliaceae,Linum,Lonicera,Lotus-type,Lythrum,Myrtus,Nymphaea,Olea,Oleaceae,Papaver,Phillyrea,Pinguicula,Pinus,Pistacia,Plantago,Poaceae,Poaceae (Cerealia),Podospora,Polygonaceae,Populus,Potentilla,Primulaceae,Quercus (deciduous),Quercus (evergreen),Quercus faginea,Rhamnus,Ribes,Rosaceae,Rubiaceae,Rumex,Salix,Sambucus,Saxifragaceae,Scrophulariaceae,Sedum,Tamarix,Taxus,Thymelaeaceae,Tilia,Trifolium-type,Ulmus,Urticaceae,Valerianoideae,Viburnum,Viscum album,Vitis,total,Sordaria,Sparganium,Sporormiella,Triletes,Triletes (scabrate),Typha,Selaginella,Orobanchaceae,Osmunda,Asplenium,Botrychium,Isoëtes,Juncus,Monoletes,Monoletes (rugulate),Myriophyllum,Pedicularis,Polypodium,Potamogeton,Ranunculaceae,Ranunculus,Thalictrum
-56.87,1,,,10,,,2,,,1,2,,2,1,1,1,,,2,,,1,,,2,1,2,,,,,,2,,,2,1,6,,8,,,,,,2,,8,8,,2,,,1,,,,10,,,,,189,,1,12,2,,,,1,4,8,25,14,,,1,,1,,,,3,,,,,,1,,5,,,,,346,,,,,,,,,,,,,,,1,3,1,,1,2,1,1
-45.91,1,,,11,1,,2,,2,,2,1,3,2,,1,,1,1,,2,,,,2,,2,,,,,,1,,,5,5,2,,5,,,,,,,1,15,2,,,,,,,,,18,,,,,149,,2,22,1,,,,,,17,24,13,,,3,,1,1,1,,2,,,,,,1,1,2,,1,,,329,,,,,,1,,,,,,,,,,2,,,1,5,3,2
-34.95,,,,13,2,,3,,,,3,,2,1,,,,,4,,1,,,,5,1,2,,,,,,1,,,4,3,3,1,1,,,,,,1,,8,3,,1,,,4,,,,12,,,,,206,,2,14,2,1,,,,3,9,5,1,,,1,,2,2,,1,1,,,,,,1,,2,,,,,332,,,,,,,,,,,,,2,1,,2,1,,3,6,5,
-23.99,,,,13,,,6,,2,,1,,3,1,1,3,,1,4,,7,,,,2,,1,,1,,3,,1,,,4,,1,1,1,,,,,,,,6,5,,,,,2,,,,15,2,,,,252,,,18,1,,,,,3,10,8,4,,,2,,1,2,,1,1,,,,,,,,3,,,,,393,,,,,,,1,,,,,,1,1,,3,,,1,4,2,1
-1.27,,,,6,3,,5,,4,,2,,1,,,,,,2,2,2,,,,4,,5,,,,1,,1,,,4,4,2,,3,,,,,,,2,9,6,,,,,,,,,32,,,,,141,,2,18,1,,1,,,2,11,15,14,,1,3,,3,,,1,4,,,,,1,,,6,,,,,324,,,,,,3,,,,,,,,1,,,1,,1,4,3,1
56.9,,,,8,2,,3,,2,,2,1,1,,4,1,,,1,,1,,,,2,1,3,,,,,,2,,,1,4,2,1,2,,,,,,,1,16,4,,,,,1,,,,30,,2,,,144,,4,22,1,,,,,1,12,13,7,,1,1,,2,,,3,2,,,,,,2,,3,,,,1,317,,,1,,,,,,,,,,,,,1,,,3,4,4,
115,,,1,7,,,4,,1,,1,,,,1,,,1,1,,5,,1,,,,6,,,,,,1,,,1,3,3,1,4,,,,,,1,1,3,3,,,,,1,,,,27,1,1,,,165,,2,22,,,,,,,12,14,4,,2,,,2,,1,2,1,,,,,,,,5,,,,,312,,,,,,,,,,,1,,1,,,1,,,,2,1,
217.4,,,,14,,1,16,,4,,1,,2,,,1,,4,,3,4,,,,1,,2,,,,1,,1,,,14,2,15,,4,,,,5,,,,9,7,,,,,1,,,,40,4,,,,92,,1,20,,,,1,,4,9,6,3,,,5,,,,1,1,4,,1,,,,2,,1,,,,1,308,,,,,,,1,,,,2,,,1,1,1,1,,,8,1,3
231.4,,,,20,2,,9,,1,,1,,1,2,,,,1,4,,3,,,,1,1,5,,,,,,,,,9,2,2,,2,,,,,,1,1,10,4,,1,,,,,,,58,,,,,74,,1,20,,,1,1,,4,15,11,4,,1,1,,2,,,1,2,,1,,,,3,1,4,,,,,288,,,,,,,2,,,,,,,,,,1,,2,7,5,3
289.6,,,,10,1,,2,,5,,3,,,,1,2,,,2,1,10,,1,,2,,3,,,,1,,3,,,1,3,1,1,,,,,3,,2,,7,5,,,,,2,,,,22,,,,,176,,1,29,,2,,,,4,6,2,,,,2,1,,2,,,1,,2,,,,1,1,3,,,,,327,1,,2,2,,,6,,,,,,,2,,,,,1,2,4,1
388.5,3,,,4,5,,7,,6,1,3,,1,1,,,,1,1,1,15,,,,1,,3,,,,1,,5,,,14,2,,1,7,,,,,,1,,2,1,,,,,1,,,,11,1,,1,,151,,1,21,,,,,,4,2,3,2,,,1,,,,,2,,,,,,,2,,1,,,,1,292,,,,1,1,,1,,,,2,,,2,,2,,,1,3,3,1
446.7,1,,,9,3,,11,,3,1,2,,3,,,,,2,,,1,,1,,1,,3,,,,1,,5,,,18,2,14,,2,,,,1,,,,6,10,,,,,,,,,36,6,,,,86,,3,28,1,,,1,,4,17,10,7,,,1,,1,,,,3,1,1,,,,2,,7,,,,1,316,,1,,1,,,,,,,,,1,1,,,,,1,6,4,3
521.8,,,,6,3,,16,,2,,2,,4,,,2,,2,,,3,,,,,,1,,,,,,5,,,21,3,6,,4,,,,,,,1,6,5,,,,,1,,,,19,2,,,,160,,3,20,1,,,,,1,8,13,5,,,5,,,,,,5,,,,,,1,2,4,,,,1,343,,,,,1,,1,,,,2,,,1,,1,1,,,3,,1
595.1,,,,11,,,32,,4,,5,,1,,,,,,,,2,,,,2,1,5,,,1,,,5,,,8,1,,2,6,,,,1,,,,6,14,,,,,1,,,,8,,,,,160,,1,18,,,,,,3,20,16,11,,,7,,,,,1,6,,,,,,,3,4,,,,,366,,,,1,,,,,,1,2,,,1,,,1,,,5,4,2
668.3,1,,,15,2,,39,,3,,9,,1,,,,,1,,,5,,,,4,,7,,,,2,,11,,,12,10,1,,4,,,,1,,,,10,6,,1,,,4,,,,4,3,,,,134,,,12,,,,,,1,7,13,11,1,1,3,,1,,,,6,,,,,,1,,5,,,,1,353,,,,,,,,,,,1,,,1,,4,,,,4,,2
741.5,1,,,14,,1,27,,1,,8,,2,,,,,2,,,,,,,3,,4,,,,1,,6,,,13,1,,,3,,,,,,,,15,3,,,,,1,,,,8,2,,,,123,1,,29,2,,2,,,1,23,5,7,,,2,,1,1,,,9,,2,,,,1,,2,,,,,327,,,,,,,,,,,,,,1,,2,,,,4,4,4
814.7,,,,3,,,57,,1,,7,,,,,,,1,,,2,,,,3,,2,,,,2,,2,,,17,4,,,,,,,,,,1,12,7,,,,,4,,,,,1,,,,139,,5,13,,,,,,1,5,3,2,,1,1,,1,,,,5,2,2,,,,2,1,4,,,,1,314,,,,1,,,,,,1,,,,1,,1,1,,,5,2,3
887.9,,,,11,1,,34,,2,,8,1,,,,,,1,,,3,,,,2,,7,,,,,,8,,,25,4,2,,5,,,,,,,,11,5,,1,,,1,,,,1,2,,,,152,,,36,2,,,,,2,9,5,4,,,5,,,,,,11,,,,,,2,1,3,1,,,1,369,,,,1,,,1,,,,2,,,,,5,1,,,4,4,2
961.1,,,,5,4,1,20,,2,,13,,1,,,,,4,,,1,,1,,1,,7,,,,,,8,,,11,11,1,,6,,,,,,1,1,11,16,,3,,,3,,,,2,1,,,,110,1,3,35,4,,,,,5,11,11,7,,,3,,3,,1,,4,1,4,,,,4,2,4,1,,,4,353,,,,1,,,,,,,,,,1,,7,1,,,6,4,2
1034.3,2,,,8,3,,35,,3,,16,,1,,,,,1,,,6,,,,5,,4,,,,1,,3,,,16,,,,,,,,1,,,1,5,8,,1,,,1,,,,2,1,,,,164,,5,32,1,,1,,,3,12,4,8,,,5,,1,,1,,1,,3,,,,1,1,6,,,,,373,,,,,,,,,,,1,,1,1,,4,,,,6,4,2
