depth,age,acer,alnus,amaranthaceae,apium,artemisia,asteraceae undiff.,berberis,betula,brassicaceae,buxus,caryophyllaceae,castanea,cedrus,centaurea,cistaceae,corylus,cupressaceae,dipsacoideae,ephedra,ericaceae,fabaceae,fraxinus,genista-type,glomus,lamiaceae,liliaceae,lonicera,olea,phillyrea,pinus,pinus pinaster,pistacia,plantago,poaceae,polygonum aviculare-type,quercus (deciduous),quercus (evergreen),rhamnus,riccia,rubiaceae,rumex crispus-type,salix,sordariaceae,thymelaeaceae,typha,urticaceae,vitis,zygnemataceae
30,509.3,,,6,1,34,40,2,,3,,4,,1,,5,,13,,2,4,1,1,7,125,9,,,12,,15,2,3,15,125,2,3,22,1,9,1,2,5,15,2,5,4,4,90
61,1686.8,,,8,11,22,37,,,7,,9,2,,,6,,2,,1,9,,,6,133,3,,,10,2,30,4,4,13,75,4,5,40,,3,,,6,7,1,6,2,,90
86,2272.3,,2,6,2,36,23,,,,,6,,,,11,,1,,,12,6,,4,47,7,,,9,4,45,3,1,6,70,,7,48,,4,,,,10,,2,2,,80
116,2670.9,,1,7,2,39,30,,,,,2,,,,3,,2,2,,4,4,,,21,2,,,5,,50,12,5,5,55,5,9,40,,2,,,,16,2,1,2,,64
151,3197.4,,1,10,4,19,20,,,3,,,,,,5,,2,,2,14,2,,,27,3,,,2,2,105,15,3,3,30,2,11,25,,3,,,,3,,2,3,,81
184,3744.8,,,8,3,18,24,,,,,,,,,7,1,1,,2,5,,1,,28,2,,,5,,120,7,4,4,39,1,10,25,,2,,,6,11,,3,,,43
213,4301.7,3,1,19,2,15,17,,,,,,,,,,6,2,,1,5,,1,,4,,,,7,2,123,5,,1,19,2,30,8,,3,2,,2,1,,3,,,50
255,5241.9,3,1,2,,16,8,,3,,,,,,,,4,3,,,5,2,,,8,5,,1,9,2,160,7,3,1,20,2,36,7,,3,,,,,,6,,,54
285,5964.3,1,,5,,8,20,,3,,,,,,2,1,,,,,6,3,,,5,2,,1,9,,165,11,2,3,22,4,29,12,,1,,,1,1,,1,,,33
319,6824.8,,,3,,8,9,,,4,2,2,1,,,,6,1,,,2,2,,,2,2,,,4,2,237,17,1,4,19,,8,8,,,,,2,,,,,,31
365,8069.8,3,1,2,,10,9,,2,,1,,,2,,,4,,,,4,2,,,5,,,,3,,199,11,,7,15,4,15,6,,,,,1,2,,2,,,19
44,1076.3,,1,13,11,31,47,,,2,,2,,,3,7,,2,,2,12,7,,5,115,3,,,10,,19,2,2,15,86,1,3,14,,2,,5,2,8,3,12,1,,75
69,1963.5,,,6,2,27,23,,,,,6,,,,6,,3,,3,6,4,,3,81,4,,,11,1,28,8,6,9,94,2,8,29,,9,,,,6,,6,1,,101
93,2367.5,,1,8,5,15,16,,,,,3,,,,5,,2,,1,5,,1,3,41,7,,,5,2,63,8,1,12,72,,11,33,,4,,,,11,1,1,1,,50
125,2790.3,,,13,9,25,33,,,3,,2,,1,,5,,2,,,8,,1,,6,5,,,5,3,59,4,2,5,63,,7,42,2,1,,2,1,11,,2,,,25
145,3098.3,,,8,6,17,11,,,,,3,,3,,4,1,,,1,10,4,,,16,11,,,6,3,58,8,2,3,36,,14,34,,3,,,4,15,3,9,1,,38
178,3645.8,,,4,3,18,18,,2,,,,,1,,6,,1,1,2,7,4,1,,9,4,,,10,,95,13,2,2,48,2,18,33,,3,,,5,,3,9,,,38
207,4181.5,,,14,,31,38,,3,,,,,1,,1,6,1,,2,1,2,2,1,9,9,,,5,,129,11,2,3,33,,36,17,1,3,,,,7,1,1,2,,88
238,4819.2,1,,13,,16,27,,2,,,,,,,,4,1,,,3,,,,6,3,,,1,,178,6,,1,29,,32,6,,1,,,5,9,2,2,,,61
269,5577,4,1,,,11,11,,2,,2,,,,,,5,,,,5,3,,1,1,10,,,5,,142,9,,2,28,2,37,4,,,,,6,,,,,,45
295,6200.2,2,,5,,5,12,,1,1,2,,,1,,,3,3,,2,1,,,,10,,,,5,,148,16,1,7,25,5,24,13,,1,,,2,,,7,,,34
340,7400.3,,1,5,,7,3,,1,,2,,,,,,,,,,8,,,,2,3,,,5,3,238,14,2,10,21,1,16,13,,2,,,1,1,,,,,31
25,334.8,,1,10,2,35,30,,,,,3,1,,1,5,,5,1,,5,7,,5,132,7,,,10,3,18,3,2,11,80,2,2,15,2,12,2,,,19,2,5,3,1,72
55,1487,,1,10,7,22,35,1,,,,3,,2,,8,1,,,2,4,4,,8,91,8,,,9,3,42,1,5,14,73,5,6,30,1,2,5,,6,23,1,1,2,,43
80,2191.2,,,9,6,25,22,1,,2,,,2,,,5,,3,2,1,5,3,,6,35,3,,,5,5,57,4,4,11,48,2,9,36,,4,,,,9,3,3,2,,89
108,2564.8,,,7,5,22,22,,,,,,,,,10,,2,,2,6,6,1,4,35,7,,,10,4,60,6,1,4,59,2,13,34,,5,1,,1,18,3,6,2,,63
136,2948.9,1,,10,5,27,25,,,3,,3,,,,7,,3,,,8,3,,,11,2,,,7,3,68,6,,10,39,2,13,35,,3,4,,,6,2,3,3,,45
169,3498.9,,2,8,3,19,13,,,,,,,,,5,,4,,3,5,,,3,22,3,,,6,,77,5,,3,40,,15,19,1,3,1,,1,12,1,9,,,72
193,3903,2,,5,,33,29,,,,1,,,,,1,2,3,,2,4,,1,2,19,11,,,6,2,138,9,,10,21,,23,9,,8,,,1,10,1,4,3,,88
225,4537.9,,1,5,,33,13,,,1,,2,,2,,,2,2,,2,,3,,,6,,,,5,1,130,8,,1,25,,28,7,,2,,,7,1,,5,,,55
250,5114.7,2,,5,1,16,11,,,4,2,,,2,,,3,,,,3,1,,,12,,,,8,,134,6,3,1,33,2,33,9,3,3,,,,10,2,,,,60
279,5818.5,2,1,5,,10,11,,,,,,,,,,2,,,,2,,,,3,6,,,4,,158,11,,3,35,3,31,11,,3,,,3,3,,4,,,22
314,6688.4,2,1,4,2,5,13,,3,4,5,2,,1,,2,3,1,,,5,4,,,6,,,2,7,,204,17,,3,28,,13,8,,1,,,4,17,,,,,6
360,7935,2,,4,,4,6,,1,,1,3,,,,,3,,,,2,1,,,4,6,,1,3,,197,12,2,,14,4,14,3,,,,,,,,2,,,28
27,404.4,,,7,3,31,39,1,,5,,5,,,2,7,,1,,3,2,8,,9,141,3,,,11,2,13,2,,12,76,3,,20,3,10,,,2,12,2,7,1,,84
58,1586.7,,,8,12,23,12,,,,,2,,,,11,,8,,2,11,6,1,10,123,2,,,5,4,33,3,5,17,84,2,7,34,1,5,,,,11,2,6,1,3,58
82,2218,,1,7,3,25,12,,1,2,,2,,,,5,,2,,1,5,,1,3,26,2,,,7,,42,5,2,4,54,1,11,43,,6,,3,,9,2,4,5,,93
110,2591.2,,,7,5,26,24,,,,,4,,,,6,,1,,3,7,5,1,,32,6,,,7,3,58,3,4,13,48,3,8,32,,2,,,,15,4,2,,,84
142,3048.6,2,,9,3,31,10,,1,,,2,,,,8,1,3,,2,10,5,,,9,6,,,5,3,60,4,,11,30,2,16,21,,1,2,,,7,4,8,,,49
175,3596.6,,,16,4,26,27,,1,5,,,,,,4,,6,2,2,11,2,1,,15,2,,,2,,100,15,3,3,32,,11,30,,4,,,,6,,6,1,,40
205,4142.4,3,1,8,,20,15,,,,,,1,3,,,3,1,,,,3,,,6,5,,,5,1,138,5,,2,25,2,31,10,,2,,,5,7,2,,,,30
234,4726.3,,,12,,31,18,,4,,,,,,,,5,2,,,3,,,,5,3,,,5,,161,6,2,2,31,1,25,10,,4,,,4,,3,12,,,66
266,5504.7,,2,3,,12,9,,1,2,3,,1,1,,,4,5,,,2,2,1,1,,,,,7,,165,12,1,2,23,,36,5,,1,,,,14,,,,,38
288,6034.7,,1,4,,10,22,,2,,,,,,,,3,1,,,,,,,5,4,,,4,1,166,9,,5,34,3,30,13,,1,,,2,,,2,,,21
325,6990.7,1,1,3,,8,8,,3,,1,,,1,,,4,,,,3,,,,1,3,1,,5,,208,13,,2,20,2,19,9,1,8,,,,8,1,2,,,13
