depth,age,achillea-type,alchemilla,alnus,amaranthaceae,angelica-type,apiaceae undiff.,arctostaphylos,arenaria-type,artemisia,betula,betula/corylus/myrica,calluna vulgaris,campanula-type,cannabaceae undiff.,carpinus betulus,cichorioideae,cirsium/carduus,corylus avellana,cryptogramma crispa,diphasiastrum,dryopteris carthusiana-type,dryopteris filix-mas-type,dryopteris-type,echium,empetrum nigrum,epilobium,equisetum,ericaceae-type,eriophorum-type,fagus sylvatica,filipendula,fraxinus excelsior,gentiana purpurea-type,geranium sylvaticum-type,gymnocarpium dryopteris,hordeum-type,humulus lupulus,juncaceae,juniperus communis,lotus cf. l. corniculatus,melampyrum,menyanthes trifoliata,picea abies,pinus,pinus sylvestris,plantago lanceolata,poaceae (cerealia) undiff.,poaceae undiff.,populus tremula,potentilla-type,quercus,ranunculus acris-type,ranunculus trichophyllus-type,rhinanthus-type,rosaceae undiff.,rubus chamaemorus,rumex acetosa,rumex acetosa/r. acetosella-type,rumex acetosella-type,rumex longifolius-type,salix,saxifraga oppositifolia-type,sedum,silene dioica-type,solidago-type,sphagnum,tilia cordata,ulmus,urtica,vaccinium-type,veronica-type,viburnum opulus,cf. sorbus aucuparia
808,-46,,,12,,,,,,,181,8,3,,,1,1,,1,,,,,17,,,,,5,2,,,2,,,2,1,,,43,1,4,,16,,154,1,,41,,2,5,,,,,,1,,2,,,,,,,12,,,4,5,,,1
812,136,1,,15,1,,,,,2,95,1,7,,1,,3,,6,,,,,28,,,,,2,3,,,,,1,6,1,,,53,,7,,9,,165,,1,59,1,4,3,,,,,,1,2,3,,1,,,,,8,1,,2,4,,,
816,318,,,22,1,,,,,2,167,8,3,,,,,,6,,,,,30,,,,,8,1,2,1,,,1,5,,,,65,1,4,,6,,226,2,,80,,2,7,,,,1,,,2,1,1,2,,,,2,12,,,9,3,,1,1
820,500,,,7,1,,,,,2,101,1,1,,1,,2,,8,,2,,,28,,,,,4,,,1,,1,,1,,,,27,,4,,12,,204,1,,36,,1,3,,,,,,1,1,,,2,,,,1,10,1,1,2,,,,1
824,682,,,10,1,,,,,1,63,3,6,,,,1,1,6,,1,,,10,1,,,1,4,3,,2,,,,3,,,,27,,4,,2,,172,2,,43,,1,1,1,,,,,3,2,,,,,,,1,7,,1,3,3,,,
828,864,,,17,,,,,,1,121,1,4,,,,1,,11,,,,1,28,,,,,3,2,1,,,,1,8,,1,,42,1,4,,14,,196,,,68,,5,8,1,,,1,,1,3,3,,1,,,,2,10,1,1,5,2,,,
832,1045,,,17,,,,,,1,121,2,2,,,,,,12,,2,1,,18,,,,1,3,2,1,1,2,,,3,1,,,33,,3,,4,,151,,,40,,1,5,,,,,,1,3,,,2,,,,,5,,1,7,2,,,
836,1227,,,19,,,,,,2,158,,2,,,,,,8,,2,,,25,,,,,3,6,1,1,1,,,,,,,34,,2,,1,,174,2,,47,,,12,,,,,1,,,2,,4,,,,1,5,,1,8,,,,1
840,1409,1,,14,,,,,,,102,2,3,,,1,1,,6,,1,,,27,,,,,8,,,,1,1,,9,,,,38,,7,,7,,191,,,66,,2,4,,,,,1,3,4,1,,3,,,,1,6,1,1,1,2,,,
844,1590,,,27,,,,,,,159,3,4,,,,,1,7,,1,,,26,,,,1,7,2,,2,1,,,8,,,1,56,,2,,7,1,173,,,39,,3,11,,,,,,1,,,,1,,,,2,6,1,2,2,2,,,1
848,1769,,,23,,1,,,,,154,2,2,,,,1,,8,,1,,,25,,,,,2,2,,,2,,1,4,,,,24,,3,,3,,159,2,,42,,5,8,1,,1,,,1,1,,,2,,,,4,5,,2,3,,,,
852,1948,,,25,1,,,,,,150,1,2,,,1,,1,7,,,,,21,,,,,3,1,,1,,,,7,,,,33,,2,,1,1,166,1,,23,,2,18,,,,,,3,1,,,2,,,,,3,,2,5,,,,
856,2128,,,31,,,,,,1,110,3,,,,,,,7,1,,,1,29,,,,,1,3,2,1,1,,,2,,,,40,,4,,1,,203,,,31,,4,4,,,,,,1,1,,,1,,,,2,6,2,,2,2,,,1
860,2307,,,22,,,1,,,,154,,,,,,,,15,,,,,30,,,,1,1,,1,,,,,3,,,,22,,3,,2,1,159,3,,29,,,16,1,,,,,1,,,,2,,,,1,7,1,2,1,3,1,,
864,2486,,,29,,,,,,2,157,1,1,,,1,,,9,,3,,,22,,,1,,5,2,,,2,,,5,,,1,46,,3,,1,,185,,,38,,1,4,,,,,,1,,,,,,,,,8,,1,2,1,,,
868,2666,,,33,1,,,,,,123,,2,,,,,,10,,1,,,24,,,,,4,3,1,,,,,3,,,,28,,,,,,205,1,,35,,,8,,,,,,,1,1,,1,,,,1,6,2,6,,4,,,
872,2845,1,,32,,,,,,2,176,1,2,,,,1,,4,1,,,,31,,,,,3,1,,1,2,,,2,,,,25,,3,,,,195,,,48,,1,12,,,,1,,1,3,2,,3,,,,1,14,,,,3,,,
876,3024,,,14,,1,,,,1,138,,,,,1,,1,12,,,,,16,,,,,2,,,,1,,,3,,,1,27,,4,,1,,185,1,,27,,1,11,,,,,,,,,,,,,,,4,,7,4,2,,,1
880,3203,,,30,,,,,,1,151,1,4,,,1,2,,8,,,,1,16,,,,2,4,4,,1,1,,,2,,,,34,,1,,1,,295,2,,35,,2,13,,,,,,1,,1,,1,,,,,5,1,6,1,1,,,
884,3383,,,20,,,1,,,,131,,3,,,1,1,,5,,,,,14,,,,1,7,2,,,2,,,7,,,,21,,2,,2,1,237,3,,19,,1,10,,,,1,,,1,,,2,,,,,3,,5,4,1,,,1
888,3562,,,40,,,,,,,150,5,3,,,,,,18,,,2,3,29,,,,,1,3,1,,1,,1,1,,,,37,,2,,1,,240,2,,32,,1,8,,,,1,,,2,,,1,,,,,3,,5,4,2,,,
892,3741,,,31,,2,,,,1,123,,3,,,,,,10,,,,1,33,,,,,4,7,,1,,,,1,,,,31,,3,,,1,318,,,31,,,15,,,,,,,,,,1,,,,,8,3,2,3,3,,,1
896,3920,,,28,,,,,,,116,1,1,,,,,,16,,1,,,13,,,,1,1,4,1,,,,,5,,,,22,,2,1,,2,234,,,30,,,13,,,,,,1,,1,,2,,,,1,3,2,2,,4,,,1
900,4136,,,42,,,,,,1,163,,2,,,,,,15,,,,,38,,,,,4,6,,1,2,,,2,,,,33,,1,,2,1,276,,,20,,1,21,,,,,,,1,2,,1,,1,,,1,1,5,2,2,,,1
904,4434,,,28,,,,,,1,126,1,3,,,,,,17,,1,,,21,,,,,1,8,,1,2,,,1,,,,33,,2,,1,1,285,,,17,,1,20,,,,,,2,,,,1,,,,,6,3,7,1,1,,,
908,4733,,,40,,,,,,,156,1,4,,,,,,18,,,,2,24,,,,,1,6,,1,,,,2,,,,35,,4,,,2,280,,,18,,5,20,,,,,,1,,,,,,,,1,4,,6,1,1,,,1
912,5031,,,28,1,,,,,,131,,2,,,,1,,11,,,,2,35,,,,,5,4,,,3,,,1,,1,,26,,6,,,2,240,,,23,,,19,1,,,,,2,,,,1,,,1,1,3,2,4,1,3,,,
916,5330,,,34,,,,,,3,145,1,1,,,,2,,30,,2,1,4,29,,,,1,6,,,,,,,2,,,1,32,,4,,,,267,,,19,,3,19,,,,,,3,,,,,,,,,1,5,7,,9,,,
920,5628,,,46,1,,,,,,129,3,1,,,,1,,17,,1,,1,50,,,,,2,3,,,1,,,4,,1,,32,,4,,,3,380,,,25,,5,11,,,,1,,,,,,1,,,,1,1,5,4,,3,,,
924,5927,,,32,,,,,,,111,1,,,,,,,12,,3,1,3,15,,,,,2,8,,,1,,,1,,,,26,,5,,,1,230,,,14,1,1,12,,1,,,,1,,1,,,,,,1,5,2,8,2,5,1,,
928,6225,,,59,,,,,1,1,180,1,1,,,,,,20,,,,3,35,,,,,5,7,,,1,,,2,,,,32,,1,,,,332,,,30,,2,18,,,,,,1,1,,,1,,,,1,1,2,13,2,3,,,
932,6524,,,55,,1,,,,,149,,,,,,,,18,,1,,8,23,,,,,4,,,,1,,,4,,,,17,,2,,,3,242,,,14,,1,12,,,,,,,,,,,,,,1,3,2,13,,3,,,1
936,6822,,,67,1,1,,,,,151,1,,,,,1,,26,,,1,3,21,,,,,4,4,,,2,,,3,,,,29,1,1,,,,258,,,21,,2,14,,,,,,1,,,,,,,,1,3,2,12,,1,,,
940,7121,,,64,,,,,,1,145,1,1,,,,1,,21,,1,,3,19,,,,,2,3,,,2,,,4,,,,40,,1,,,1,219,,,27,,1,12,,,,,,2,,,,4,,,,1,3,2,18,2,1,,,1
944,7422,,,64,,,,,,,109,5,,,,,,,20,,,,1,21,,,,,1,2,,,,,1,1,,,,22,,4,,,,270,,,18,,,9,,,,,,,,,,4,,,,,1,,13,,1,,,1
948,7785,,,50,,,,,,,145,2,,,,,,,15,,,,2,13,,1,,,3,3,,,4,,,3,,,,37,,3,,,4,319,,,17,,,7,,,,1,,3,1,2,,4,,,,,2,,11,,,,,1
950,7967,,,55,,1,,,,,145,2,,,,,,,37,,2,,,9,,,,,,,,1,1,,,9,,,1,74,1,5,,,,387,,,21,,,10,,,,,,,,,,1,,,,,,1,8,,,,,
952,8148,,,28,,,,,,,129,1,1,,,,,,17,,,,,13,,,,,,,,,,,,4,,,,35,1,,,,,244,,,33,,,3,,,,,,3,1,,,2,,,,,2,,10,,1,,,
954,8329,,,27,1,,,,,,177,2,,,,,1,,25,,,,1,14,,,,,1,3,,,,,,6,,,,42,,1,,,1,250,,,30,,,6,,,,,,4,,,,1,,,,,3,3,12,2,,,,
