depth,age,acer,achillea-type,alchemilla,alnus,amaranthaceae,anemone nemorosa-type,angelica-type,apiaceae undiff.,arctostaphylos,artemisia,betula,betula/corylus/myrica,bistorta officinalis/b. vivipara,brassica-type,calluna vulgaris,campanula-type,capsella-type,carex-type,carpinus betulus,caryophyllaceae undiff.,cerastium fontanum-type,cichorioideae,cirsium/carduus,cornus suecica,corylus avellana,cryptogramma crispa,cyperaceae undiff.,cystopteris fragilis,diphasiastrum,dryopteris carthusiana-type,dryopteris filix-mas-type,dryopteris-type,empetrum nigrum,epilobium,equisetum,ericaceae cf. cassiope,ericaceae-type,eriophorum-type,eucalyptus spike,eucalyptus tablets,eucalyptus tablets,fagus sylvatica,filipendula,frangula alnus,fraxinus excelsior,gentiana purpurea-type,gentianella campestris-type,geranium sylvaticum-type,geum cf. g. rivale,gymnocarpium dryopteris,humulus lupulus,huperzia selago,isoëtes lacustris,juncaceae,juniperus communis,lotus cf. l. corniculatus,melampyrum,oxyria digyna,phegopteris connectilis,picea abies,pinus sylvestris,plantago lanceolata,plantago major/p. media,poaceae undiff.,polygonum aviculare-type,populus tremula,potentilla-type,prunus padus,quercus,ranunculus acris-type,ranunculus trichophyllus-type,ranunculus undiff.,rosaceae undiff.,rubiaceae,rubus chamaemorus,rumex acetosa,rumex acetosa/r. acetosella-type,rumex acetosella-type,rumex longifolius-type,sagina,salix herbacea-type,salix undiff.,saussurea nuda,saxifraga oppositifolia-type,sedum,silene dioica-type,silene viscaria-type,solidago-type,tilia cordata,trientalis europaea,ulmus,urtica,vaccinium-type,valeriana excelsa subsp. sambucifolia-type,veronica-type,viburnum opulus,viola palustris-type,cf. callitriche,cf. galeopsis,cf. sorbus aucuparia
794,-46,1,,,6,,,,,,2,77,3,,,2,,,45,,,,1,,,4,,52,,,,,87,1,,,,4,,646,0.361,182100,,2,,,,,1,,8,,4,4,,7,,1,,,9,91,2,,109,,,,,1,1,,,,,,,6,,,,7,36,,,,,,8,1,,,6,4,1,,,,,,
796,72,,,,9,,,,,,,73,2,,,5,,,71,,1,,1,,,4,2,50,,8,,1,132,,,,,8,,646,0.3613,182100,,2,,,,,,,7,,,1,1,9,2,3,1,,6,110,5,,117,,,,,2,3,,,,,2,4,6,1,,,8,45,,,,,,7,,,2,8,5,,,,,,,
798,192,,,,8,,,,,,,48,2,,1,2,,,51,,,,3,,,9,2,28,,6,,,127,1,1,,,10,3,568,0.3525,182100,,1,,,,,,,3,,2,6,,23,1,1,2,,6,77,,,106,,,,,3,1,,,,,1,7,4,2,,,4,39,,,,,,7,,,2,5,2,,,,,,,1
800,312,,,,14,2,,1,,,2,40,1,,,2,,,66,,,2,7,,,8,5,22,,22,,1,267,,2,,,22,,794,0.3511,182100,,,,,,,1,,24,,3,1,,9,,,1,,3,83,2,,174,,,,,1,7,,2,1,,2,6,9,1,1,,,34,,,,,,7,,,1,6,5,,,,,,,
802,432,,,,11,,,,,,1,37,4,,,2,,,49,,,1,5,,,5,2,23,,2,,,171,1,,,,12,5,390,0.1822,182100,,1,,,1,,1,1,3,,,8,2,10,,,,,1,79,2,,110,,1,,,,3,,,,,,1,6,1,,,3,19,,,,,,11,1,,1,5,3,,,,,,,
804,552,,,,14,,,,,,1,44,,,,5,,,62,,,,5,,,11,3,17,,4,,2,137,,,1,,4,,388,0.2032,182100,,3,,,,,,,9,,2,10,,6,,,1,,3,69,2,,104,,,,,1,2,,,1,,1,6,5,1,,,2,22,,,,,,8,,1,,1,4,,,,,,,
806,672,,,,15,2,,2,,,,43,,,,5,,,43,,,,5,,,2,2,20,,6,,,121,,,,,9,,375,0.1738,182100,,1,,,,,,,7,,4,7,,7,,1,1,,6,60,,,81,,,1,,4,5,,,,,,,8,2,,,3,19,,,,,,9,1,,2,7,2,,,,,,,1
808,793,,,,9,,,,,,2,35,,,,4,,,52,,,1,6,,,5,3,12,,6,,2,163,2,1,,,12,,291,0.1729,182100,,,,,1,,1,,15,,1,2,,6,,,,2,1,71,,,86,,,1,,1,5,,,,,2,4,5,1,,,,25,,,1,,,7,,2,,5,4,,,,,,,
810,913,,,,7,1,,,,,,71,2,,1,3,,,42,,,,6,,,4,,22,,1,,,108,,,,,4,,529,0.1816,182100,,,,,,,1,,7,,,2,,5,2,,,,3,67,2,,91,,1,,,,1,1,1,,,1,3,7,2,,,3,21,,,,,,8,,,2,5,,,,,,,,
812,1033,,,,16,,,,,,1,91,1,,,2,,,49,,,,2,,,4,1,20,,4,,,112,,,,,4,,355,0.1788,182100,,,,,,,,,5,,,2,1,12,,1,1,1,1,82,,,75,,,,,2,4,,,,,2,5,4,4,,,2,19,,,,,,8,,,1,4,4,,,,,,,
814,1153,,,,11,,,,,,2,46,4,1,,5,,,45,,,1,4,,,7,1,27,,3,,2,158,,,,,5,,423,0.1764,182100,2,,,,,,,,4,1,,,,17,,1,,,3,72,,,114,,,1,,,,,,,,1,5,9,1,,,2,21,,,,,,9,1,,1,2,2,1,,,,1,,
816,1273,,,,14,,,,,,,67,2,,,2,,,48,,,,4,,1,7,4,10,,5,,1,141,1,1,,,8,,371,0.1752,182100,,1,,,,,1,,8,,2,12,,13,1,,,,2,70,,,85,,,1,,3,1,,,,,,7,5,1,,,1,26,,,,,,3,,2,,6,1,,,,,,,2
818,1393,,2,,14,1,,,,,3,90,7,,,,,,42,,,1,2,,,8,2,23,,3,,2,90,,,2,,5,2,647,0.184,182100,,,,,,,,,5,,1,8,1,6,,2,,,3,92,2,,96,,2,1,,3,3,,,1,,1,10,5,,,,1,16,,,,,,10,1,,,10,1,,,,,,,
820,1513,,,,17,1,,,,,,138,2,,,3,,,73,,,,3,,,14,1,14,,8,,,151,,,,,10,,523,0.1785,182100,,2,,,,,,,12,,,9,,7,,,2,1,6,140,1,,110,,,,,3,4,,,,,,10,7,3,,,2,21,,,,,,5,,,1,5,3,,1,,,,,
822,1633,,1,,21,2,,,,,,65,1,,,2,,,56,,,1,5,,,6,1,22,,4,,2,117,,1,1,,8,,372,0.2017,182100,,2,,,,,1,,3,,1,13,,6,,,,1,1,107,3,,86,,,,,3,1,,,,,,6,5,1,,,2,20,,1,,,,5,1,,6,2,5,,,,,,,
824,1754,1,,,28,1,,,,,1,84,4,,,2,,,111,,1,1,3,,,12,2,41,,9,,2,189,1,1,,,4,,409,0.2027,182100,1,1,,1,,,1,,10,,1,4,,10,,,,,1,144,2,,103,1,,1,,2,3,,,1,,,6,4,1,,,2,32,,,1,,,9,1,,1,9,4,,1,,,,,
826,1874,,,1,23,,,,2,,1,73,4,,,5,,,64,4,,,2,,,2,,51,,1,,,104,,,2,,6,,244,0.1748,182100,,2,,,,,1,,11,,1,12,,5,,2,,,,69,,,89,,1,,,3,2,,,,,,2,1,,,,3,17,,,,,,7,,,2,2,2,,,,,,,
828,1994,,,,17,1,,,,,3,76,2,,,3,,1,52,1,,,2,,1,7,1,17,,6,,,128,,,3,,2,,510,0.1891,182100,,,,2,,,,,7,,,22,,12,,,1,,,95,1,,110,,,2,,6,2,,,,,,6,5,2,,,,13,,,1,,,4,,,5,5,3,,,,,,,1
830,2114,,,,34,,,,1,,2,86,1,,,1,,,44,,,,1,,,5,2,15,,1,,3,107,,,2,,6,,507,0.1854,182100,1,3,,,,,1,,8,,,9,,10,,1,1,,2,88,2,,82,,,,,6,2,,,,,,3,4,1,,,,7,,,,,,5,,,2,7,6,,,,,1,,
832,2234,,,,29,,,,,,1,65,1,,,2,1,,44,,,,3,,,6,2,27,,5,,10,116,,,,,7,1,488,0.1736,182100,,,,,1,,,,8,,,23,,3,1,,,,1,101,2,,96,,,,,4,2,,1,,,,5,5,1,,,1,9,,,,,,4,1,,2,8,3,,,,,1,,1
834,2336,,1,,20,,,,1,,2,76,4,,,3,,,22,,,,2,,,11,1,31,,4,,1,107,1,,,,8,3,740,0.1811,182100,,2,,,,,,,,,,26,,10,,,,,,133,2,,86,,,,,3,4,,,,,,4,3,1,,,1,15,,,,,,7,1,,,4,4,,,,,,,
836,2427,,,,37,,,,1,,1,135,3,1,,,,,45,,,,1,,,13,1,7,,3,1,5,139,1,,1,,3,2,402,0.1782,182100,,2,,,,,1,,4,,1,20,,11,,,,,,140,1,,91,,1,1,,5,,,1,,1,,3,3,,,,1,16,,,,,,1,,,5,6,2,,,,,,,3
838,2517,,,,18,,,,,,,59,2,,1,2,,,30,,,,4,,,7,1,15,,2,,2,133,,,,,5,1,382,0.1847,182100,,1,,,,,,,3,,,23,,2,,,,,,114,2,,78,,,,,3,1,,,,,,5,4,1,,,,10,,,,,,,,,4,5,2,,,,,,,
840,2608,,,,22,,,,,,1,82,,,,,,,42,,,,6,,,7,,14,,4,2,2,149,2,1,3,,2,1,363,0.1781,182100,,1,,,,,,,5,,1,16,1,9,,1,,,,86,2,,74,,,1,,11,1,,,1,,,8,2,1,,,,13,,,1,,,2,1,,8,4,,,,,,,,
842,2698,,,,26,1,,,1,,2,83,4,,,4,,,26,,,,4,,,4,,21,,,,7,143,,2,,,6,,435,0.1821,182100,1,,,,,,1,,4,,,14,,4,,,2,,,94,3,,91,,2,,,4,4,,1,2,,,4,3,1,,,1,9,,,1,,,8,1,,3,2,4,,,,,,,
844,2788,,,1,23,,,,,,,92,2,1,,5,,,37,,,,2,,,8,1,18,,12,1,7,96,,,2,,5,,278,0.1806,182100,,,,,,,,,10,,1,17,,9,,,,,,93,1,,72,,,1,,2,2,,,1,,1,4,4,,,,1,15,,,,,,4,,,2,5,2,,,,,,,1
846,2879,,,,23,,,,,,3,79,4,,,2,,,24,,,,1,,,4,,19,,4,,4,87,1,,1,,7,2,320,0.1609,182100,,1,,,,,1,,4,,,17,,5,,,,,,119,5,,72,,1,1,,2,2,,,1,,,1,3,4,,,2,13,,,,,,7,1,,5,2,4,,,,,,,
848,2969,,,,53,,,,,,1,97,1,1,,3,,,42,,,,,,,12,3,13,,4,1,3,108,,,3,,3,1,307,0.1736,182100,1,3,,,,,,,14,,1,29,,6,,1,,,1,93,,,80,,,,,6,1,,,,,,4,10,5,,,,9,,,,,,3,,,1,4,,,1,,,,,
850,3060,,,,29,,,,,,1,98,3,,,1,,,30,,,,2,,,18,1,10,,2,,1,104,,,1,,2,3,313,0.1806,182100,,2,,,,,,,,,,26,,8,,,,,,135,1,,64,,1,1,,5,,,,,1,1,2,1,1,,,,12,,,,,,7,3,,5,2,2,,,,,1,,1
854,3240,,,,30,1,1,,,,,103,2,,,1,,,21,,,,2,,,13,,7,,5,,6,91,,,1,,6,1,349,0.1777,182100,,2,,1,,,,,2,,,25,,11,,1,,,,129,1,,66,,,,,8,1,,,,1,,1,1,1,,,1,16,,,,,,4,1,,3,2,1,,,,,,,
858,3421,,,,28,,,,,,,95,1,,,3,,,27,,,,3,,1,9,2,13,,7,1,7,94,1,,4,,3,2,360,0.1977,182100,,1,,,,,1,,6,,,38,,8,,2,,,,117,1,,69,,,,,6,,,,1,,,4,5,1,,,2,7,,,,,,5,,,7,3,,,,,,,,1
862,3602,,,,31,1,1,1,1,,,71,1,,,,,,43,,,,1,,,15,2,20,,1,,1,128,1,,,,3,4,295,0.18,182100,,1,,,,,1,,4,,,47,,6,,,,,,121,1,,66,,1,,,5,1,,1,,,1,6,3,,,,,10,,,,,,3,,,2,7,,,,,,,,4
866,3783,,,,39,1,,1,,,2,79,1,,,3,,,25,,,,4,,,5,1,11,,4,1,8,139,1,,3,,6,2,417,0.1996,182100,,2,,,,,,,10,,,66,,9,,1,,,,129,2,,80,,1,2,,9,,,1,,,,7,5,,,,,4,,,,,,9,1,,5,3,3,,,,,,,1
870,3964,,,,41,,,,,,1,77,1,,,1,,,34,,,,,,,17,1,10,,2,1,7,107,,1,,,1,7,301,0.1806,182100,,2,,,,,1,,5,,,54,1,19,,1,,,,110,,,63,,1,,,2,1,,,,1,,9,2,,,,1,8,,,,,,2,1,,4,1,2,,,,,,,2
874,4144,,,1,47,,,,,,1,106,3,,,4,,1,29,,1,,1,,,9,1,14,,5,,4,131,,,1,,1,4,293,0.1679,182100,,1,,1,,,,,1,,1,31,,10,,1,,,,136,1,,72,,,,,3,,1,,,,,1,,1,,,,9,,,,,,4,1,,6,4,1,,,,,,,1
878,4325,,,,34,1,,,,,,108,1,,,,,,21,,,,5,,,15,,4,,,,4,125,,2,2,,3,2,401,0.161,182100,,1,,,,,,,7,,,40,,13,,,2,,,100,,,53,,,1,,11,1,,,,,,,3,1,,,2,9,,,,,,4,1,,3,2,1,,,,,1,,1
882,4506,,,,48,,,,,,1,86,2,,,,,,37,,,,3,,,20,,10,,5,1,10,107,,,2,,3,1,364,0.1839,182100,,1,,1,,,1,,2,,,86,,10,,2,,,,126,1,,63,,,1,,2,,,,,1,,5,5,,,,,4,,,2,,,2,,,13,3,3,,,,,,,1
886,4676,,,,22,,,,,,2,101,2,,,1,,,33,,,,5,,1,14,1,8,,1,,19,118,,1,1,,1,1,437,0.1844,182100,,4,,,,,,,5,,1,53,,10,,,,1,,190,,,48,,,1,,8,3,,,,,,3,3,,,,1,6,,,2,,,3,5,,4,,,,,,,2,,1
890,4822,,,,36,1,,1,,,5,107,4,,,1,,,23,,,,4,,,21,1,13,,4,,10,132,,,2,,4,4,340,0.1775,182100,,1,,,,,,,4,,,48,,13,,1,,,1,162,,,79,,,,,10,1,1,,1,,,3,3,,,,1,6,,,,,,4,,,6,8,2,,,,,,,1
894,4967,,,,29,,,,,,,71,4,,,,,,24,,,,3,,,18,1,9,,3,,3,132,,,,,2,2,266,0.1974,182100,,1,,,,,,,7,,2,54,,8,,1,,,,109,,,49,,,,,5,1,,,,,,5,4,3,,,,7,,,,,,7,,,3,2,3,,,,,,,1
898,5113,,,,49,,,1,,,2,93,2,,,1,,,23,,,,,,,16,,8,,,,5,130,,,2,,1,,314,0.1827,182100,,,,1,,,,,5,,,48,,7,,1,,,,104,,,47,,,,,10,3,,,,,,4,4,1,,,,5,,,,,,4,2,,10,3,1,,,,,,,1
902,5259,,,,53,,,,,,,80,3,,,1,,,12,,,,2,,,28,3,7,,1,,1,131,,,,,7,,263,0.1827,182100,,2,,,,,1,,7,,2,129,,19,,,,,,129,,,57,,,1,,5,2,,1,,,1,1,7,1,,,,1,1,1,1,,,4,,,12,,,,,,,,,
906,5404,,,,56,1,1,,,,1,145,4,,,3,,,31,,,,4,,,15,,9,,1,,2,197,,,1,,6,1,429,0.1789,182100,,3,,1,,,,,8,,1,61,,11,,2,,,,147,,,70,,,,1,8,,,,,,1,12,7,,,,,2,,,,1,,5,2,,12,2,2,,,,,,,1
910,5550,,,,73,2,,,,,1,118,4,,,2,,,25,,,,4,,,35,,10,,1,,1,160,1,,,,3,5,501,0.1928,182100,,,,2,,,,,6,,,107,,16,,,1,,1,96,1,,66,,,,,6,5,,,,,,6,5,1,,,,8,,,1,,,6,2,,16,4,3,,,,,,,
914,5695,,,,40,,,,,1,,81,5,,,,,,27,,,,3,,,28,3,12,,2,,,153,,,,,6,2,209,0.1733,182100,,,,,,,1,,8,,1,369,,13,,2,,,,115,,,61,,,1,,1,,,,1,,1,5,5,1,,,,5,,,1,,,6,,,12,3,1,,,,,,,
918,5841,,,,100,1,,,,,1,93,3,1,,3,,,21,,,,7,,,28,1,9,,1,,3,207,1,,,,4,,402,0.1755,182100,,1,,2,,,,,10,,,269,,16,,1,,,,203,,,64,,,,,6,2,,,,,,4,2,1,,,,6,,,,,,2,4,,8,6,2,,,,,,,2
922,5987,,,,60,,,,,,1,134,3,,,,,,23,,,,7,,,32,2,12,,,,4,190,,,,,4,,416,0.1647,182100,,1,,2,,,,,6,,,125,,19,,4,,,,106,,,64,,1,,,3,2,,,1,,,6,5,,,,,3,,,1,1,,6,6,,19,3,2,,,,,,,
926,6132,,,,50,,,1,,2,1,113,1,,,3,,,14,,1,,2,,,30,1,6,,1,,6,117,,,2,,4,3,249,0.1759,182100,,1,,1,,,,,4,,1,57,,18,,1,,1,,89,,,34,,,1,,5,,1,,,,,8,5,1,,,,3,,,,,,2,2,,16,4,3,,,,,,,1
930,6278,,,,61,,,,,,,143,6,,,4,,,27,,,,4,,,42,1,11,,,,1,115,,,,,6,,327,0.1787,182100,,2,,1,,,,,2,,1,136,,9,,1,,,,133,,1,45,,,,,5,2,,,2,,,6,5,1,,,,4,,,,,,4,9,,17,4,5,,,,,,,2
934,6429,,,,71,,,,,,,105,1,,,1,,,26,,,,2,,,44,,10,,3,1,11,136,3,,2,,6,5,296,0.1749,182100,,,,1,,,2,,8,,2,151,,8,1,,,,,178,,,62,,,,,6,,,,,,,2,3,1,,,1,1,,,,1,,3,3,,16,,4,,,,,,,2
938,6593,,,,99,,,,,,2,156,4,1,,,,,35,,,1,5,,,39,1,6,,5,3,6,116,4,,2,,6,5,411,0.1766,182100,,2,,,,,,,7,,,174,,23,,,1,,,166,,,70,,,,,6,2,1,,1,1,,11,5,2,,,,4,,,,,,4,6,,27,2,4,,,,,2,,4
942,6758,,,,50,,,2,,,,103,1,,,1,,,11,,,1,5,,,33,2,6,,2,,3,83,1,1,1,,5,4,285,0.2044,182100,,,,1,,,1,,11,,,144,,17,,1,,1,,141,,,51,,1,,,2,,,,,,,5,3,,,,,2,1,,1,,,5,2,,18,,2,,1,,,1,,
946,6922,,,1,55,,,1,,1,,86,,,,1,,,14,,,,1,,,37,1,7,,2,,3,55,,,,,5,,207,0.173,182100,,1,,1,,,1,,7,,1,180,,16,,,,,,134,,,33,,,,,3,1,,,,,,5,3,,,,,3,,,,,,3,3,,8,1,5,,,,,,,1
950,7086,,,,61,,,,,,1,91,2,,,1,,,17,,,,8,,,56,1,5,,2,,10,54,,,,,4,3,306,0.1921,182100,,3,,1,,,,,7,,3,110,,22,,1,,,,140,,,48,,1,,,4,1,,,,,,6,4,,,,,4,,,,,,3,,,18,1,3,,,,,,,1
954,7250,,,,83,,,,,,1,118,4,,,,,,20,,,,,,,52,1,6,,3,,5,64,,,1,,10,1,374,0.1744,182100,,1,,,,,,,11,,2,82,,19,,4,,,,138,,,58,,,,,5,2,,,1,,,3,5,1,,,,5,,,1,,,3,2,,24,4,5,,,,,,,2
958,7414,,,,76,,,2,1,,,89,2,,,1,,,14,,,,6,,,42,1,4,,2,,7,54,,,1,,2,3,338,0.1812,182100,,1,,,,,,,2,,,117,,26,,3,,,,181,,,57,,,1,1,3,,,,1,,,3,4,,,,,1,,,,,,4,1,,14,,4,,,,,,,2
962,7565,,,,75,,,1,,,1,113,5,,,1,,,12,,,,1,,,59,,5,,5,,2,59,,,,,1,,314,0.1855,182100,,,,2,,,,,6,,,130,,25,,3,,,,136,,,55,,,,1,5,2,,,,,,9,3,,,,,2,,,,,,2,1,,16,,,,,,,,,1
966,7682,,,,66,1,,1,,,1,85,1,,,1,,,11,,,,2,,,34,1,5,,3,,4,41,,,,,,2,457,0.1925,182100,,1,,,,,1,,8,,2,100,,19,,2,1,,,156,,,52,,,,,1,4,,,1,,,6,1,1,,,,1,,,,,,5,1,,18,1,,,,,,,,
970,7800,1,,1,54,,,2,,2,2,100,2,,,3,,,14,,,1,2,,,41,1,6,,1,,4,62,,,,,2,3,370,0.171,182100,,3,,1,,,1,,13,,3,130,,28,1,1,,,,159,,,63,,,,,6,,,,,,,13,1,,,,1,5,,,2,,,4,,,13,1,1,,,,,1,,
974,7917,,,,49,,,,,,,99,1,,,2,,,11,,,1,1,,,27,1,8,,6,,1,53,,,,,3,1,270,0.1823,182100,,1,,,,,,,8,,2,94,,25,,2,,,,199,,,66,,,1,,7,1,,,1,,,5,3,,,,,4,,,2,,,4,2,,13,,,,,,,1,,3
978,8035,,,,45,,,1,,,1,127,4,1,,,,,17,,,,4,,,35,,8,,14,,1,58,,,1,,3,,318,0.1854,182100,,,,,,,,,7,,4,54,,39,2,2,,,,173,,,62,,1,,,2,,,,1,,,7,4,2,,,,5,,,,,,9,,,11,,,1,,,,,,
