depth,age,abies alba,acer,achillea,aconitum,alchemilla,allium,alnus glutinosa,alnus viridis,amaranthaceae,anemone alpina,apiaceae,artemisia,aster/achillea-type,asteraceae,astrantia,bartsia,betula,botrychium,brassicaceae,bupleurum,calluna vulgaris,campanulaceae,cannabis sativa,carduus,carpinus betulus,caryophyllaceae undiff.,castanea sativa,cercophora,chaerophyllum,cichorioideae,coniferae,corylus avellana,cystopteris fragilis,dianthus,dryas octopetala,ephedra distachya,ericaceae,eryngium,euphorbia,fabaceae,fagus sylvatica,falcaria-type,filipendula ulmaria,fraxinus excelsior,genista-type,geranium,geum,gnaphalium,gypsophila,hedera helix,helianthemum,helleborus,heracleum sphondylium,homogyne alpina,hordeum,humulus lupulus,huperzia selago,hypericum,juglans regia,juniperus,juniperus,lamiaceae,larix,larix decidua,ligusticum mutellina,liliaceae,lilium martagon,melampyrum,mentha,odontites,onobrychis,papaver,peucedanum,picea,picea abies,pinus,pinus cembra,pinus sylvestris,plantago alpina,plantago lanceolata,plantago major,plantago media,plantago montana,poaceae,poaceae (cerealia),podospora,polypodium,populus,potentilla,poterium sanguisorba,primula,prunus,pteridium,quercus,ranunculus aconitifolius,ranunculus acris,rhamnus,rhinanthus,rhododendron,ribes alpinum,rosaceae,rubiaceae,rubus,rumex acetosa,rumex alpinus,salix,saxifraga granulata,saxifraga oppositifolia,scabiosa columbaria,scrophularia-type,secale,sedum-type,selaginella selaginoides,senecio,silene vulgaris,sorbus,sporormiella,teucrium-type,thalictrum,tilia,trifolium,trifolium repens,triticum,trollius europaeus,ulmus,urtica dioica,ustulina,vaccinium-type,veratrum album,veronica,viscum album,vitis vinifera,xanthium
0,-60,4,,1,,,,5,44,,,,1,1,,,,1,3,3,,,,1,,,,4,,,5,,15,,,,,1,,,,5,1,,1,,,,1,,,,,2,,,,,,1,5,,,,3,,,,,,,,,,,71,,59,14,12,3,1,,,111,,,,,,,,,,5,,3,,1,,,1,1,,,1,,,,,,,,,,,,4,,,,,,,,2,5,,,,,,,
8,-33,6,,1,,,,1,25,1,1,3,4,1,,,,,5,2,,1,2,3,,,,1,,,13,,5,,,,,,,,,5,,,1,,,1,1,,,,,1,,,,,,1,5,,,,3,2,,,,1,,,1,,,95,,73,6,14,2,,2,2,79,,,,,,,,,,5,2,8,,1,,,1,,,2,,,,2,,,,,2,1,1,,8,,,,,,,,1,3,,,,,,,
24,42,5,,,,,,3,30,1,,2,2,2,,,,3,5,3,,,2,1,,,1,3,,,27,,16,,,,,,,,,2,1,,2,,,,,,,,,,,,,,,1,4,,,,1,3,,,,,,,,,,53,,53,7,25,6,3,2,5,104,,,,,,,,,4,6,1,12,,,,,2,1,,4,2,,,,,,,,5,,4,1,18,,,1,,,,,2,9,,,,,,,
40,120,3,,1,,,,8,35,,1,,,1,,,,1,4,,,,2,3,,,,3,,,20,,13,,,,,,,,,1,,,1,,1,,1,1,,,,1,,1,,,,2,8,,,,,4,,,,2,,,,,,56,,47,8,13,8,1,3,2,105,,,,,,,,,,4,1,7,,1,,,1,,,3,,,,,,,1,,9,,2,,16,,1,,,,,,2,18,1,,,,,,
56,197,3,,,,,,7,35,,,1,3,1,,,,2,9,,1,,,7,,,,5,2,,37,,15,,,,,1,,,2,,,,1,,1,,1,,,,,2,,,,,,2,1,,,,,2,,,,,,,,,,42,,36,18,11,5,4,5,2,96,,,,,,,,,1,1,1,1,,1,,,1,,,2,1,1,,,,,,,25,1,,,21,,1,,,,,,4,21,1,,,,,,
72,275,4,,,,,,4,32,1,2,2,2,3,2,,,1,5,,,,,13,,,,8,,,29,,10,,,,,,,,1,1,1,,2,,,1,2,,,,,,,,,,,,7,,,,1,,,,,,,,,2,,50,,37,4,15,12,2,9,3,84,,,,,,,,,,7,1,9,,,1,,,1,,7,1,,,,,,2,,9,,2,,12,,2,,,,,,,15,,,,,,,
88,353,8,1,,,,,5,17,,1,3,,2,,,,1,9,,,,3,6,,,,11,2,4,18,,10,,,,,,,,,,,,1,,1,,,1,,,,1,,,,,,3,3,,,,,2,,,,1,,,,3,,64,,69,17,13,4,1,10,1,67,,2,,,,,1,,2,9,,6,1,,,,2,2,,4,2,,,,,,,,4,,2,,18,,2,,,,,1,5,6,1,,,,,,
96,395,6,,,,1,,12,18,,2,3,,1,1,,,1,13,1,,,4,6,,,,2,,3,22,,23,,,,,,,,,,,,3,,,,3,,,,,,,3,,,,1,6,,,,,,,,,,,,1,,,39,,50,10,6,2,3,5,3,68,,,,,,,,,,12,2,8,,,,,1,,,1,4,,,,,,1,,5,1,1,1,13,,2,1,,,,,6,12,2,,,1,,,
104,449,2,1,,,,,3,49,2,,1,3,,,,,,,2,,1,1,4,,1,,6,,,8,,11,,,,,,1,,,1,,,2,,,,,,,,,4,,,,,,3,3,,,,2,1,,,,,,,,,,75,,49,7,6,2,2,2,,83,3,1,,,,,,,2,5,1,8,,,,,,1,,3,,,1,,,,,,,,,,5,,2,,,,,,10,16,1,,,1,,,
112,502,5,2,,,,,6,18,,,,3,,,,,,1,1,,2,,11,,,,7,,,11,,15,,,,,,,,,2,,,1,,,,,,,1,,,,5,,,1,5,9,,,,1,,,,,,,,,,,112,,38,18,5,3,,,3,66,,,1,,,,,,,7,3,1,,,1,,1,,,2,,,1,1,,,3,,3,,,,4,,3,,,,,,3,4,,,,,,,
120,555,5,,1,,1,2,5,39,,,,2,,,,1,1,1,1,,,,6,,1,,5,,,3,,9,,,,,,,,,4,,,,,,,,,,,,1,,,,,,2,12,,,,1,,,,,,,,,,,81,,63,12,4,9,1,1,,76,8,,1,,,,,,1,9,1,5,,,,,,,,3,,,1,,,,1,,4,,,,8,,,,,,,3,,15,1,,,,,,
128,608,7,1,1,,,,10,20,,,2,3,,,,,,1,,,,,4,,,,2,,,8,,19,,1,,,,,,,5,,1,,,1,,1,,,,,2,,5,,,,1,9,,,,,1,,,,,,,,,,94,,50,12,6,4,,,4,81,,,,,,,,,1,6,,8,,,,,,,,2,,1,1,,,,,,,,1,,1,,,1,,,,,4,6,,,,,,,
136,661,30,,2,,,,4,34,,,,6,1,,,,4,2,,1,,,2,,2,,2,,,4,,19,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,7,,,,2,,,,,,,,,1,,133,,41,13,1,3,1,,,60,3,,2,,,,,,3,5,,7,,,,,,1,,,,,1,1,,,,,3,,,,5,,2,,,,,1,4,11,,,,1,,,
144,739,16,,,,,,10,33,1,,1,5,,,,,3,,1,,,,5,,,,2,,,2,,20,,,,,1,,,,7,,,1,,,,2,,,,,2,,9,,,,1,16,,,,,1,,,,,,,,,,106,,26,14,2,4,1,1,,51,,,,,,,,,4,7,,3,,,,,,,,5,1,1,1,,,,3,,1,,2,,5,,,,,,,,4,8,2,,,1,,,
152,857,36,,1,,,,3,40,,,2,6,1,,,1,3,1,,,1,1,2,,1,,2,,,,,7,,,,,,,,,12,,,,,,,,,,,,,,,,,,2,4,,,,2,1,,,,,,,,,6,142,1,38,21,1,7,,,,53,3,,,,,,,,,10,,,,,,,,1,,1,2,,1,,,1,1,,,,,,3,,,,,,,,1,8,1,,,,,,
160,976,27,1,,,,,16,46,,,,1,,,,,3,,,,2,,3,,,,1,,,1,,15,,,,,,,,,9,1,,4,,,1,,,,,,,,,,,1,1,4,,,,2,1,,,,,,,,,,159,,35,16,,2,,1,,24,3,1,,1,,,,,2,5,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,6,2,,,,,,
168,1094,29,,,,,,9,45,,,1,3,1,,,,2,,,,,,2,,,,1,1,,2,,13,,,,,,,,,9,,,3,,,,,,,,,,,,,,,1,5,,,,3,1,,,,,,,,1,,146,,59,8,,4,,,,40,1,,,,,,,,,9,,2,,1,,,,3,,2,1,,,,,,,,5,,,,5,,,,,,,,1,4,2,,,,,,
176,1213,13,,,,,,34,63,1,,,1,,,,,,1,,,,,2,,,1,1,,,,,20,,,,,1,,,1,6,,1,2,,,,2,,,,,,,3,,,,1,6,,,,,,,,,,1,,,,,81,,48,9,2,1,,,,55,,,,,,,,,4,6,,,,1,,,,,,,,,1,1,,,1,,,,,,2,,,2,,,1,,6,19,1,,,,,,
184,1331,21,,,,,,10,40,1,,,4,,,,,2,,,,,,1,,1,,,,,,,16,,,,,,,,,11,,,5,,,,,,1,,,,,,,,,1,2,,,,2,1,,,,,,,,,1,126,,40,5,,5,,,,55,1,,,,,,,,3,12,,1,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,5,12,1,,,,,,
192,1449,20,1,,,,,29,69,1,,,1,,,,,2,,,,,,,,,,2,,,1,,26,,,,,2,,,,12,,,5,,,,,1,,,,,,1,,,,1,2,,,,2,,,,,,,,,,,89,,46,21,,4,1,,,32,,,,,,1,,,1,7,,1,,,,,,,,,1,1,,,,,2,,,,,,5,,,,,,,1,6,4,,,,,,,
200,1568,39,1,,,,,12,39,,,,1,,1,,,3,3,,,,,2,,6,,4,,,1,,13,,,,,,,,,15,,,7,,1,,,,,,,,,,,,,1,5,,,,6,,,,,,,,,,1,123,,72,14,1,1,,1,,35,1,,,,,,,,1,20,,1,,,,,,,,1,1,,,,,,,,1,,,,1,,,,,,,,9,9,,,,,,,
208,1686,23,,,,,,10,58,,,,3,,,,,3,,1,,,1,1,,,,1,,,1,,22,,,,,,,,,15,,,3,,,,1,,,,,,,2,,,,,1,,,,2,,,,,,,,,1,,111,,52,13,1,,,,1,34,,,,,,,,,1,9,,1,,,,,,,1,,,,,1,,,1,,1,,1,,3,,,1,,,,,9,12,1,,,,,,
216,1804,38,,,,,,11,37,1,,,3,,,,,4,4,1,,,,2,,,,,,1,6,,8,,,,,,,,,21,,,2,,,,,,,,,,1,,,,,,2,,,,,,1,,,,,,,,,106,,68,17,1,3,1,,,31,,,,,,,,,2,18,,1,,,,,1,,,2,,,,,,,,,2,,,,2,,2,,,,,,2,10,,,,,,,
224,1982,28,,3,,,,9,82,,,,6,,,,,2,,,,,,2,,,,,,,,,16,,,,,,,,,14,,,2,,,,,,,,,,,1,,,,,1,,,,2,,,,,,,,,,,100,,26,15,5,1,,1,,47,,1,,1,,,,1,2,15,,1,,,,,2,,,5,2,,,,,,1,,1,1,,1,5,,,,,,,,6,2,3,,,,,,
232,2160,40,,,,,1,6,29,,,,,,,,,,,,,,,,,,,,2,,1,,12,,,,,,,,,17,,,2,1,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,156,,46,11,1,1,,,,38,,,,,,,,,4,24,2,3,,,,,1,,,,,1,,,,,,,1,,,,9,,,,,,,,3,4,6,,,,,,
240,2338,29,,,,,,12,56,,,2,1,,,,,,,2,,,,,,1,,,,,,,26,,,,1,,,,,16,1,2,,,,,,,,,,,,2,1,,,,2,,,,1,,,,,,,,,1,,110,,77,24,1,,,,,36,,,,1,,,,,1,4,,,,,,,,,,1,,,,,,,,,,,,1,4,,,,,,,,10,,1,,,,,,
248,2516,72,,,,,,18,28,,,,1,1,,,,5,,,,,1,1,,,,,,,4,,17,,,,,,,,,3,,,,,1,,1,,,,,,,,,,,,5,,,,3,,,,,,,,,,1,111,1,55,7,1,1,,,,34,,,,,,,,,6,3,,,,1,,,,,,2,,,2,1,,,,,1,,,3,2,,,,,,,,14,3,2,,,,,,
256,2720,41,,,,,,8,59,,,,,,,,,3,,1,,,,4,,,1,,,,,,14,,,,,,,,,7,,,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,124,,62,29,,,,,,26,1,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,13,2,,,,,,,
264,2930,39,,,,,,19,25,2,,,6,,,,,4,,,,,,,,1,,,2,,,,21,,,,,,,,,9,,,7,,,,,,,,,,,,,,,,3,,,1,4,,,,,,,,,1,,136,,71,6,,3,,,,42,,,,,,,,,3,7,,1,,,,,,,,1,1,1,,,,,,,1,,,,3,,,,,,,,6,1,2,,,,,,
272,3139,29,,,,,,15,63,,,1,2,1,,,,4,,,,,,,,,,,,1,1,,32,,,,,,,,,12,1,,3,,,,,,,,,,,,1,,,,2,,,,2,,,,,,,,,,7,90,,60,8,,1,,,,63,,,,1,,,,,2,6,,,,1,,,1,,,,,1,,1,,,,,,,,,3,,,,,,,,9,2,2,,,,,,
280,3349,74,,,,,,29,23,,,,1,,,,,4,1,,,,,,,,,,2,,2,1,11,,,,,,,,,12,,,2,,,,,,,,,1,,,,,,,1,,,,2,,,,,,,,,1,,120,1,66,17,,,,,,36,,,,,,,,,2,16,,,,2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,8,4,3,,,,,,
288,3558,33,1,1,,,,25,36,,1,1,,,,,,5,,2,,,,1,,,1,,,,,,33,,,,,,,,1,13,1,1,7,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,1,1,96,,84,16,,2,,,,39,,1,,1,,,,,,9,2,2,,,1,,,,1,,,1,,,,,,,1,,,,2,,,,,,,,7,2,2,,,1,,,1
