depth,age,abies,abies alba,acer campestre-type,achillea-type,allium,alnus glutinosa-type,alnus viridis,amaranthaceae,apiaceae,artemisia,aster-type,avena-type,bartsia-type,betula nana,betula pubescens,botrychium,brassicaceae,buxus sempervirens,calluna vulgaris,calystegia,campanula,cannabis-type,carduus,carpinus betulus,caryophyllaceae,castanea sativa,centaurea cyanus,centaurea montana,centaurea scabiosa,cerastium,chaerophyllum-type,cichorioideae,corylus avellana,cuscuta europaea-type,cyperaceae,dryas octopetala,ephedra distachya-type,ephedra fragilis-type,eryngium,fagus sylvatica,filipendula,fraxinus excelsior-type,genista-type,gentiana-type,geranium-type,geum,gnaphalium-type,gypsophila,hedera helix,hedwigia,helianthemum,heracleum,homogyne alpina,hordeum-type,juglans regia,juniperus,juniperus-type,knautia,lamiaceae,larix,larix decidua,liliaceae undiff.,lonicera alpigena,lonicera xylosteum,mentha-type,olea europaea,pediastrum,picea,picea abies,pinus,pinus cembra,pinus sylvestris-type,pistacia,plantago alpina,plantago lanceolata,plantago major/p. media,poaceae,poaceae (cerealia),podospora-type,populus,potentilla-type,poterium sanguisorba,quercus robur-type,ranunculus acris-type,ranunculus-type,rhamnus,rhinanthus-type,rhododendron,rosaceae,rubiaceae,rumex acetosa-type,salix,saxifraga granulata-type,saxifraga oppositifolia-type,scorzonera-type,secale,selaginella selaginoides,silene dioica-type,sorbus,sordaria-type,sporormiella,succisa,taxus baccata,thalictrum,tilia,triticum-type,trollius europaeus,ulmus,urtica,valeriana officinalis,vitis vinifera,xanthium spinosum-type
6,-13,,2,1,1,,14,20,,,3,,,,,10,,1,,,,,,,1,,3,1,,,,3,4,1,,51,,,,,2,,,,,,1,,,,,,,,1,1,,2,,1,,1,,,,1,,3,1,165,,,27,,5,11,4,58,4,,,,,2,7,3,,1,1,,,11,2,,,,1,,,1,2,13,,,,,2,,,,,1,
14,52,,1,1,,,10,34,1,3,,,,,,6,,2,,,,,2,,1,,10,,,,,1,5,6,,41,,,,,9,,2,,,,,,,,,,2,,1,,,6,,,,,,,,2,1,2,,66,,,22,,2,9,2,79,4,1,,4,,2,10,2,,,,,2,10,2,,,,1,2,,2,3,20,,,1,,2,,2,9,,,
30,180,,3,1,,,9,23,,1,1,,1,,,12,,2,,,1,1,11,,,,11,,,,,1,3,1,,34,,,1,,4,,1,,,,,,,,,,1,,2,9,,5,,1,,1,,,,,,7,,144,,,26,,2,14,4,78,6,,,1,,4,6,4,,1,,,,11,3,,,,3,,,1,1,6,1,1,,,,1,1,6,,,
46,309,,2,4,2,,14,22,1,1,2,,,,,13,,2,,,,,6,1,,,1,,,,,,1,3,,26,,,,,9,,3,,,,,,,,,,,,3,5,,13,,,,1,,,,,1,7,1,158,,,27,,1,14,7,78,10,,,,,6,7,6,,2,,,,10,3,,,,5,,,2,1,5,,1,,,2,1,,5,,,
62,448,,6,1,3,,12,31,3,1,9,,2,,,25,,1,,,,1,14,,3,,3,,,,,2,3,7,1,26,,,,,13,,1,,1,,,,,,,,,,2,6,,8,,,,3,,,,,,2,,127,,2,34,,2,15,5,81,11,1,1,,,7,19,8,,1,,1,,9,1,,,,6,,,1,1,13,,,,,1,1,1,3,,,
78,737,,3,,1,,8,36,1,2,7,,1,,,16,,2,,2,,,41,,3,,6,,,,,1,,5,1,12,,,,,15,,,,,,,,,,,,1,,4,2,,11,,3,,,,,,,,16,1,98,,,5,,3,20,3,89,12,,,,,5,12,8,,,,,,7,,,,,7,,,2,1,15,,,,1,,,,5,,,
94,1026,,6,,2,,16,69,4,2,17,1,,,,29,,1,,4,,,11,1,5,1,3,,1,,,3,2,15,,21,,,,,35,1,1,,,,,,,,,,1,,3,5,,3,,5,,1,,,,,,9,2,169,,,18,,,11,4,71,11,,,,,5,10,4,,,,,,13,,,,,8,,,,1,12,,2,,,,,2,2,,,
110,1316,,8,1,1,,16,89,,1,6,,,,,41,,,,2,,,2,1,5,,2,,,,,1,,15,,12,,,,,47,,1,,,,,,,,,,,,1,1,,1,,,,,,,,,,2,2,152,,1,8,,,5,1,33,4,,,,,14,11,4,,,,,1,1,,,,,3,1,,1,2,6,1,,,,,,1,,,,
126,1605,,2,1,1,,32,96,,1,6,,,,,43,,,,,,,,,4,,3,,,,,,2,10,,7,,,,,49,,3,,,,,,,,,,,,2,5,,3,,,,,,,,,2,,1,107,,,15,,,3,2,29,3,,,,,18,4,6,,,,,,,2,,,,1,,,,1,4,,,,,,1,6,1,,,
142,1894,,11,8,,,14,78,1,,5,,,,,23,,,,2,,,,,,,2,,,,,1,1,6,,13,,,,,58,,9,,,,,,,,,,,,3,3,,1,,,,,,,,,4,1,1,122,,1,15,,,5,3,32,4,1,,,,34,3,7,,,1,,,4,2,,,,1,2,,2,,8,,,1,1,,1,5,,,,
