depth,age,abies,acer,alnus,amaranthaceae,apiaceae,aristolochia,artemisia,asphodelus,asteroideae,berberidaceae,betula,boraginaceae,brassicaceae,buxus,campanulaceae,caryophyllaceae,castanea,centaurea,cichorioideae,convolvulaceae,corydalis,corylus,cyperaceae,ephedra distachya-type,ephedra fragilis-type,epilobium,ericaceae,euphorbiaceae,fabaceae,fagus,fraxinus,galium,genista-type,gentiana,geraniaceae,hedera helix,helianthemum,ilex aquifolium,iridaceae,isoëtes,juglans,juniperus,lamiaceae,liliaceae,linum,lonicera,lotus-type,lygeum spartum,lythrum,malvaceae,myriophyllum,nymphaea,osmunda,papaver,pedicularis,phillyrea,pinus,pistacia,plantago,plumbaginaceae,poaceae,polypodium,populus,potamogeton,potentilla,primulaceae,pteris,quercus (deciduous),quercus (evergreen),ranunculaceae,rhamnus,ribes,rosaceae,rumex,salix,sambucus,sanguisorba,saxifragaceae,scrophulariaceae,sedum,selaginella,solanaceae,sparganium,tamarix,taxus,thymelaea,tilia,trifolium-type,ulmus,urticaceae,utricularia,viburnum
75,5331,31,,1,6,9,,4,,2,,1,,1,1,,2,,1,6,,,1,2,,1,,1,,10,1,,,,,5,2,6,1,,,1,13,1,17,,1,,,,,,3,,,2,,116,,,,117,,,4,,5,,1,4,4,1,,9,,,,,2,2,,,,1,1,1,,,,3,1,,1
87,5426,43,,4,1,6,3,4,,1,,6,1,,,,1,1,,1,,,10,40,1,1,,3,,8,,2,,,,1,1,1,,,,,6,1,11,,,2,,,,2,1,,,4,,91,,1,,79,,,,,,,6,,1,,,5,1,1,,1,1,1,1,,,,2,1,,1,1,,1,,
99,5521,3,,1,9,9,,5,,4,,5,1,,,,1,,1,19,,,7,163,1,1,,,,8,,1,,,,1,5,,,,,,7,4,8,,,,,1,,,,,,4,,72,,,1,31,,,5,,,,14,1,,1,,7,5,,1,,,1,,,,,1,4,,,,1,2,,3
111,5616,4,,3,1,11,2,2,1,1,,4,1,5,,,1,,1,18,,,14,67,,1,,,3,7,,3,1,,,1,1,,,,,,3,2,12,,,,,,,1,,,,3,,74,1,,,57,,,5,,1,,5,1,5,2,,6,2,,1,,,1,1,,,1,3,1,,2,1,3,2,,1
106,5577,9,,5,6,16,,2,,3,,4,,,,,,,,24,,,13,78,,2,,,,4,,,,1,,1,3,,,,,,6,6,6,1,,,,2,,,1,,,4,,94,,2,,50,1,,1,,,,8,1,,1,,3,5,,,,,2,1,,,,1,2,,2,,3,1,,
118,5672,3,,,1,11,,1,,,,4,,,,,,1,,,,,12,57,1,,,,,10,,,,,,1,,,,,,,5,2,5,,,,,,1,3,,,,1,,45,,,,70,,,2,,5,,7,2,,,,3,4,,,,,3,,,,1,1,1,,1,,2,1,,
135,5810,1,,1,2,8,4,2,,2,,11,1,2,1,,,,,9,,,26,90,,1,,,,6,,3,,,,1,1,,,,,,8,10,8,1,,,,,,2,,,,5,,102,2,1,1,14,,4,4,5,,,5,2,2,1,,6,,1,,,,3,2,,,,3,,,1,,6,5,,
123,5711,3,1,2,2,8,1,8,1,2,,8,3,2,,,1,,,15,,,17,83,1,,,,1,8,,4,1,,,,2,2,,,,,15,8,11,2,,,,,,,2,,,4,,61,,,,30,,,2,,,,5,,,2,,10,1,,1,,,,,,,,3,1,,2,,6,3,,3
91,5458,11,1,2,1,3,2,2,,2,,8,1,,,1,,1,,6,,,11,85,1,1,,,,7,,4,,1,,,,,1,,,,2,2,2,1,,4,,,,1,1,,,2,,86,,,,55,,,2,,,,27,,,,,2,1,2,,,,2,1,,,,,3,,,,5,3,,1
130,5768,7,1,,1,2,1,1,,4,,2,,2,2,,,,,15,,,20,71,,,,1,,11,2,,,,,5,,1,1,,,,4,6,10,,,,,1,,,2,,,2,,86,1,,,35,,1,2,,,,5,1,,2,,7,1,,,1,,3,1,,,,3,,,2,,2,5,,1
139,5835,,1,3,4,9,4,1,4,,,13,,,2,1,,,1,8,,,8,16,,1,,,,8,,1,,,,,,,,,,,35,4,16,,,2,,,,2,1,,,1,3,76,2,4,,60,1,1,1,3,4,,11,1,3,,,4,1,1,,,,3,,,,1,3,10,,,,8,2,,2
153,5952,,,1,1,13,8,4,,4,,6,1,,1,,,,,16,,,21,108,,1,,,3,2,,6,,,,,,,,,,,6,7,3,2,,,1,1,,4,,,,3,,92,,1,,19,,,5,,,,27,1,3,,,4,5,3,,,,2,1,,,,3,3,,1,1,9,3,,
163,6027,1,1,1,1,20,,2,,1,,4,,4,1,,2,,,8,,,24,96,2,,,1,,10,1,1,,,,,2,,,,,1,8,6,11,,,1,1,,,5,1,,,,,30,,,,40,,4,3,,5,,5,1,,1,,11,1,5,,,,4,,,,8,7,17,,,,5,,,3
164,6035,,,,,17,,,,,,4,,2,1,,1,,,6,,,24,101,2,,,,,7,,2,,,,,,,,,,,7,,10,,,,,,,4,,,,,,28,1,1,,39,,2,,,,,5,2,,,,8,,4,,,,,,,,1,5,15,,,,4,,,
165,6043,,,,,18,,,,1,,5,,,1,,,,,4,,,27,102,,,,1,,5,1,1,,,,,,,,,,1,9,,9,,,,1,,,3,,,,,,29,,,,38,,,,,,,6,,,,,9,,1,,,,,,,,,4,14,,,,1,,,
167,6059,,,,,11,,,,1,,4,,,1,,,,,,,,31,87,,1,,,,6,,2,,,,,,1,,,,1,10,,11,,,,1,,,1,,,,,,27,,,,37,,2,,,,,8,,,,,5,,1,,,,,,,,58,6,8,,,,1,,,
166,6051,,,1,,10,,,,,,6,,,,,2,,,2,,,28,100,1,,,1,,7,,3,,,,,,,,,,,5,,8,,,,,,,1,,,,,,30,,,,41,,,,,,,5,3,,,,4,,3,,,,,,,,2,5,11,,,,3,,,
