depth,text,acer,amaranthaceae,arbutus,artemisia,asteraceae,berberis,betula,brassicaceae,buxus,caryophyllaceae,cistus,corylus,ephedra fragilis-type,ephedra major subsp. major,ericaceae,fraxinus,genista-type,hedera,helianthemum,ilex,juglans,juniperus-type,lamiaceae,olea,phillyrea,pinus nigra-type,pinus pinaster,pistacia,plantago,poaceae,poaceae (cerealia),polygonum aviculare-type,quercus (deciduous),quercus (evergreen),ranunculus,rhamnus,salix,sordaria-type,taxus,thecaphora,transeauina,trichuris,typha,ulmus,vitis,zygnema
16,890.9,,3,,10,12,1,,,,,1,4,,,7,2,2,,,,,4,,9,,283,18,5,12,29,,12,16,10,,,,43,,4,,1,1,,,9
42,1961.1,,1,1,19,1,,,,,,1,1,3,,2,12,1,,,,,13,,1,1,87,6,9,,69,,12,,9,,,1,39,,4,,1,3,,,8
60,3207.6,,11,,24,,,,1,,1,1,2,1,2,6,2,,,1,,,25,,4,5,301,14,4,,44,,1,7,15,5,,1,,,,,,7,,,4
82,5105.5,2,8,,18,25,,1,,,,,,,,2,,,,1,,,21,,2,2,107,51,7,,27,,,7,11,,,1,,,,,,,,,9
102,6774.6,4,,2,,,,10,,1,,,8,,,5,3,,,,4,1,,,1,2,87,11,2,2,51,,,23,12,9,,2,,1,,,,,2,,19
126,9159.9,,8,,37,8,,,2,,1,1,3,,5,3,,1,,,,,39,,2,,276,40,8,2,41,,,,,,,,,,,,,4,1,,12
146,11931.1,,3,,31,3,,8,1,2,,,6,,3,1,2,,,,,,38,,4,3,135,16,,,100,,1,5,8,1,,1,,1,,12,,,1,,21
168,18747.9,1,22,,113,,,8,1,2,,,2,,9,6,,,,,,,7,,1,,112,11,,1,93,,,9,9,,,2,,,,,,,1,,
12,691.7,,4,,12,2,2,3,,,,1,6,,,1,2,2,,,,2,5,,3,2,301,16,3,8,22,,3,17,9,,,,7,,5,1,,1,,1,12
34,1608,3,5,,32,9,,,1,,1,1,,3,,1,1,,,,,,27,4,2,,231,5,8,2,99,,1,11,7,,,,7,1,,,,10,,,3
52,2668.3,1,4,,25,5,,3,,,,1,3,1,,1,6,,,,,,31,,2,,331,10,7,,34,,,9,9,3,,,,,,,,12,,,7
10,587,,10,,27,8,1,,,,,1,,,,12,11,2,,,,3,18,,7,6,115,33,2,9,82,1,12,4,25,4,1,,38,,5,2,1,2,,,62
30,1513.3,,8,,10,21,2,3,,,2,2,4,1,,3,,,,,,1,7,1,,5,322,18,2,2,39,,1,14,12,,,1,,,,,,,,,4
50,2529.7,,10,,3,1,,,,,2,1,1,,,3,1,,,,,1,11,,5,3,300,13,9,,36,,1,9,14,2,1,3,1,,,2,,10,,,48
72,4210.7,,9,,28,11,,,2,,1,1,,3,1,2,,,,2,,,22,5,2,,163,12,,,34,,,2,8,,,2,,,,,,2,,,11
70,4029.7,,7,,13,11,1,,2,,1,,4,8,2,1,,,,,,,19,2,1,,321,9,,,41,,,5,3,,,,,,,,,,,,8
90,5741,6,,2,3,3,,4,,1,,,3,1,,7,2,,1,,2,,2,,8,4,103,32,12,,39,,,22,28,4,1,2,,1,,,,,4,,12
