depth,age,abies,acer,achillea-type,alisma,alnus glutinosa-type,alnus viridis-type,amaranthaceae,anemone-type,anthericum,anthoceros,apiaceae undiff.,arctostaphylos,artemisia,asteroideae undiff.,betula,boraginaceae,botrychium,brassicaceae,bupleurum-type,calluna,caltha-type,calystegia,campanulaceae,carpinus,caryophyllaceae undiff.,castanea,centaurea cyanus,centaurea jacea-type,centaurea scabiosa-type,cerastium-type,cichorioideae,cirsium-type,cladium,convolvulus arvensis,cornus sanguinea,corylus,dianthus-type,dryas-type,empetrum/rhododendron subsect. ledum,ephedra distachya,ephedra fragilis,epilobium,ericaceae undiff.,euonymus,euphorbia,fabaceae undiff.,fagopyrum,fagus,ficaria verna-type,filipendula,frangula,fraxinus,genista-type,geraniaceae,geum-type,gypsophila,hedera,helianthemum,heracleum-type,hippophaë,hippuris,hordeum-type,humulus/cannabis,hydrocotyle,hypericum-type,hystrix,ilex aquifolium,impatiens,jasione,juniperus,knautia,lamiaceae,lemnoideae,lotus,melampyrum,menyanthes,mercurialis perennis,myriophyllum spicatum,onobrychis-type,ononis-type,ophioglossum,papaver argemone,papaver-type,parnassia,persicaria amphibia,persicaria maculosa-type,picea,pinus,plantago lanceolata,plantago major/p. media,plantago maritima-type,plantago undiff.,poaceae,poaceae (cerealia-type) undiff.,polygonum aviculare,populus,potentilla-type,poterium sanguisorba,quercus,ranunculaceae undiff.,ranunculus acris-type,ranunculus sect. batrachium-type,rhamnus cathartica,rhinanthus-type,rosaceae undiff.,rubiaceae,rumex acetosa-type,rumex subg. rumex,sagina,salix,sambucus,sanguisorba officinalis,scabiosa,scirpus-type,scleranthus annuus,scleranthus perennis,scrophulariaceae,secale,sedum,selaginella selaginoides,silene-type,solanum dulcamara,sorbus-type,stachys-type,stratiotes,succisa,symphytum,taxus,thalictrum,thelypteris,tilia,trifolium-type,trollius-type,ulmus,urticaceae,vaccinium-type,valerianoideae,varia,verbena,viburnum,vicia-type,viscum,xanthium
18,286,,2,2,,158,,2,,,,2,,7,2,116,,,8,,19,,,2,15,1,,1,,,,,,,,,27,,,,,,,,,,,,10,,1,,2,,,,,,,,,,,2,,,,,,1,2,,,,,2,,,,,,,,,,,,1,570,16,,,,119,25,,7,,,109,,,,,,1,3,32,,,11,,,,,,,,38,,,,,2,,,,,,,2,,1,,7,,,,,,,,,
22,355,1,,1,,163,,1,,,,2,,15,2,139,,,3,,35,,,,16,,,5,,,,3,,2,,,33,,,,,,,,,,,,15,,,,5,3,,,,,,,,,,14,,,,,,,2,,,,,,,,,,,,,,,,,10,600,30,,,,149,23,1,3,1,,92,,,,,,,,61,,,14,1,,,,,2,3,43,,,,,,,,,,,2,,,,,8,4,,,2,,,,,
27,441,1,,2,,90,,1,,,,3,,10,1,115,,,7,,29,,,,11,,,2,1,,,,,,,,18,,,1,,,,,,,2,,17,,1,1,4,1,1,,,,,,,,,9,,,,,,,3,,,,,1,,,,,1,,,,1,,,13,642,13,,,,147,22,,5,,,89,1,1,,,,,,50,,,18,,,,,,1,,52,,,,,,,,1,,,,1,,,,4,1,,,1,,,,,
32,527,2,,,1,165,,1,,,,,,21,4,170,1,,7,,28,,,3,18,,,2,,,,3,,,,,22,,,,,,,,,,,1,21,,8,2,5,,,,,,,,,,,8,,,,,,,,,,,,,2,,,,,1,,,,,,5,465,14,,,,198,28,3,5,,,118,,,,,,,,74,,,28,1,,,,,1,1,46,,,1,1,1,,,,,,1,,1,,,11,3,,,3,,,,,
37,612,1,,,,147,,4,,,,1,,24,5,167,,,3,,29,,,4,13,,,1,,,,1,,,1,,29,,,,,,,,,2,,,15,,5,1,4,1,,,,1,,,,,,14,,,,,,,1,,1,,,,,,,,,,,,,,,7,553,13,,,,135,41,,1,,,91,,,,,,1,,99,,,17,,,,,,1,,76,,,,,,,,,,2,,2,1,2,,6,1,,,2,,,,,
42,698,1,,1,,121,,4,1,,1,4,,23,3,180,,,5,,42,,,2,21,,1,7,,,,5,,,,,20,1,,,,,,,,,,,19,,2,,7,,1,,,,,,,,,25,,,,,,,,,2,2,,1,,,,,,1,,,,,,4,617,18,2,,,202,46,4,2,1,,76,1,1,,,,1,5,105,,,20,,,,1,,,,75,,,,,,,,,,,3,,1,,,7,6,,,3,,,,,
47,784,3,,3,,128,,4,,,1,2,,7,1,175,1,,4,,29,,,5,15,,1,5,,,,3,,,,,20,,,,,,,,,,,,19,,6,,1,,,,,,,,,,,18,,,,,,,3,,,,,1,,,,,,1,,,,,,9,562,13,2,,,215,37,,,,,85,1,1,,,,,2,117,,,15,,,,,,3,,68,,,,,,1,,,,,,1,2,,,8,1,,,,,,,,
52,863,,1,2,1,135,,5,,,1,4,,15,3,183,,,4,,27,,,,23,1,,2,,,,3,,,,,27,,,,,,,,,,,,28,,,,8,,1,,,,,,,,,15,,,,,,,1,,,,,1,2,,,,,1,,,,1,1,3,521,10,,,,119,42,,,,,93,,2,,,,1,,81,,,14,,,,,,1,,77,,,,,,,1,2,1,,3,,,,,4,4,1,,1,,,,,
58,946,6,,1,,170,,2,,,,2,,7,,181,,,2,,28,,,3,22,1,1,2,,,,3,,,1,,18,,,,,,,,,,,,39,,,,7,,,,,,,,,,,19,,,,,,,,,,,,2,,,,,,,,,,,,6,502,10,3,,,139,34,,2,,,84,2,1,,,,,7,64,,,23,1,,,,,,1,51,,,1,,,,,,,3,,,,,,10,4,,,,,,1,,
62,1001,1,1,1,,245,,2,,1,,3,,13,1,221,,,3,,39,,,1,36,,,1,,,,2,1,,,,24,,,,,,,,,,,,47,,4,,2,,,,,,,,,,,10,,,,,,,,,1,,,1,,,,,,1,,,,,,1,453,7,3,,,140,17,1,4,,,136,1,,,,,,2,55,,,16,2,,,,1,,1,61,,,,,,,,,,2,,,3,,,13,2,,,,,,,,
