|0|1|2|sum
Fraxinus|0.21285114979160938|0.16606228674865536|0.4467130078689222|0.825626444409187
Cardueae|0.22892951994657018|0.07447273545141013|0.3511045644924174|0.6545068198903977
Salix|0.3094726384024809|0.2721198291048063|2.9395322789892257e-12|0.5815924675102268
Tilia|0.3546018006401814|0.1514732426174445|3.1870472829713858e-31|0.5060750432576259
Asteroideae|0.010887051680387796|0.25127630472392415|0.23133062234600085|0.49349397875031276
Oleaceae|0.006576192208822111|0.01139326618039751|0.46317697231508903|0.4811464307043086
Convolvulaceae|0.13787742625887303|0.2444838350632892|0.08634411924217965|0.46870538056434186
Galium|1.5578283292189494e-19|0.1704169934924573|0.27873058706324333|0.44914758055570064
Sedum|0.22820099771722874|0.13954619523517217|0.07281450696559516|0.44056169991799604
Valerianaceae|0.08603081264965465|0.21034091673904104|0.14307654871065295|0.43944827809934867
Centaurea|0.119379445047861|0.21034091673904104|0.09658978307101762|0.4263101448579196
Cichorioideae|0.0827652116427|0.2682669358438399|0.07281450696559516|0.4238466544521351
Liliaceae|0.17263193790029926|0.2202778082382234|0.025153563483216953|0.41806330962173965
Pistacia|0.08473149899156567|0.3285371128809892|3.1870472829713858e-31|0.41326861187255487
Genista|0.33924456570840705|0.04636512926426995|0.021527543108970426|0.4071372380816474
Ribes|0.24645843192897024|0.12195802014842491|0.02719968062814622|0.39561613270554136
Viburnum|0.21994352042339876|0.16568328865013493|3.1870472829713858e-31|0.3856268090735337
Ulmus|0.002384693283777775|0.09757168532661521|0.28113579475000994|0.3810921733604029
Brassicaceae|0.008064797633112663|0.1336148151902908|0.18324206724069023|0.3249216800640937
Iridaceae|0.11223979250692923|0.12625636049722877|0.08377048449849019|0.32226663750264817
Abies|0.2928416762251026|9.471706587202731e-11|0.025153563484686718|0.3179952398045064
Scrophulariaceae|0.2372060486173182|0.058295406793456454|3.1870472829713858e-31|0.29550145541077466
Ericaceae|0.09797731921431828|0.04037990132948146|0.14307654871065295|0.2814337692544527
Sambucus|0.0007131469666106084|0.17687693824423498|0.10344050592588516|0.28103059113673073
Alnus|0.12146919617320925|0.09883654035347259|0.052353244111363176|0.272658980638045
Rosaceae|0.17799435709217054|0.07235583978201698|3.1870472829713858e-31|0.2503501968741875
Populus|0.12682033714195473|0.04037990132948146|0.07194469642033995|0.23914493489177613
Papaver|0.05000333960061184|0.11681371520279357|0.053440575543998586|0.220257630347404
Tamarix|0.008737955152813292|0.20108219555962284|3.1870472829713858e-31|0.20982015071243612
Chenopodiaceae|0.0900510903551556|0.07586338135035786|0.0422996091667461|0.20821408087225957
Euphorbiaceae|4.985050653500638e-18|0.1542111500171633|0.047458604186217175|0.20166975420338046
Fagus|1.5578283292189494e-19|0.05829540669873939|0.14307654871212272|0.2013719554108621
Juglans|0.044679037726033904|0.11681371520279357|0.03705645128460463|0.1985492042134321
Saxifragaceae|0.008431400356394069|0.18762256297019592|3.1870472829713858e-31|0.19605396332658998
Helianthemum|0.03817414155993493|0.07256461553991157|0.07984515915454096|0.19058391625438748
Phillyrea|1.5578283292189494e-19|1.4113942663673656e-18|0.18133152037631683|0.18133152037631683
Rubiaceae|0.13659255168010281|0.03930012816308112|2.9395322789892257e-12|0.17589267984612347
Berberidaceae|0.10525975173861796|0.03399391625103528|0.02679372233813902|0.16604739032779225
Taxus|0.16580109073512922|1.4113942663673656e-18|3.1870472829713858e-31|0.16580109073512922
Buxus|0.04121500417888871|0.06384328179032263|0.05264547852345522|0.15770376449266654
Apiaceae|0.057882234475127275|0.060830712729657954|0.03705645128754416|0.1557693984923294
Ranunculus|0.0039485987062669505|0.1396877065273331|2.0078397882719727e-29|0.14363630523360005
Crassulaceae|1.5578283292189494e-19|0.14272059608151674|2.0078397882719727e-29|0.14272059608151674
Rhamnus|1.5578283292189494e-19|0.09019985922419206|0.04941994434563485|0.1396198035698269
Fabaceae|1.5578283292189494e-19|0.0404542118390902|0.09325500416116234|0.13370921600025254
Cistaceae|0.119379445047861|1.4113942663673656e-18|3.1870472829713858e-31|0.119379445047861
Corylus|0.0300177867096503|0.058962813952267885|0.025153563483216953|0.11413416414513514
Poaceae|1.5578283292189494e-19|0.05896281385755082|0.03705645128460463|0.09601926514215545
Acer|1.5578283292189494e-19|1.4113942663673656e-18|0.09167292847662159|0.09167292847662159
Urticaceae|4.985050653500638e-18|0.0912100465976381|2.0078397882719727e-29|0.0912100465976381
Campanulaceae|1.5578283292189494e-19|0.05938380305938993|0.02679372233813902|0.08617752539752895
Lamiaceae|1.5578283292189494e-19|0.08455123251542634|3.1870472829713858e-31|0.08455123251542634
Rumex|0.001966287348865672|0.024511293275094333|0.05264547852345522|0.07912305914741523
Thymelaeaceae|1.5578283292189494e-19|0.07447273545141013|3.1870472829713858e-31|0.07447273545141013
Vitis|1.5578283292189494e-19|1.4113942663673656e-18|0.07281450696706492|0.07281450696706492
Polygonaceae|1.5578283292189494e-19|1.4113942663673656e-18|0.07281450696559516|0.07281450696559516
Castanea|1.5578283292189494e-19|1.4113942663673656e-18|0.07150390003301188|0.07150390003301188
Olea|1.5578283292189494e-19|1.4113942663673656e-18|0.0664895360540823|0.0664895360540823
Caryophyllaceae|1.5578283292189494e-19|0.004990987520308086|0.057788362078189486|0.06277934959849757
Betula|1.5578283292189494e-19|0.058962813952267885|1.4697661394946135e-12|0.058962813953737654
Plantago|0.015661224791505706|0.04317886978753338|2.0078397882719727e-29|0.05884009457903909
Boraginaceae|0.014948077824895104|0.017215791884544793|0.025605591351934732|0.05776946106137462
Pinus|0.01384414748122452|0.0404542118390902|3.1870472829713858e-31|0.05429835932031472
Juniperus|1.5578283292189494e-19|9.471706587202731e-11|0.018858421509556664|0.018858421604273732
Lonicera|0.018588530700121862|1.4113942663673656e-18|3.1870472829713858e-31|0.018588530700121862
Myrtus|0.018134031471711016|1.4113942663673656e-18|3.9838091037142317e-29|0.018134031471711016
Primulaceae|0.005421454610180448|9.471706587202731e-11|2.0078397882719727e-29|0.005421454704897514
Carpinus|1.5578283292189494e-19|0.004990987520308086|3.1870472829713858e-31|0.004990987520308086
Artemisia|1.5578283292189494e-19|9.471706587202731e-11|1.4697661394946135e-12|9.618683216730476e-11
Ranunculaceae|1.5578283292189494e-19|1.4113942663673656e-18|1.4697661394946135e-12|1.4697677066717127e-12
