|0|1|2|sum
Olea|6.067899549148026e-15|0.5694027051095091|0.12362834536132374|0.6930310504708389
Juniperus|0.14061735025172903|0.3027208952027654|0.12906306874202467|0.5724013141965191
Viscum album|6.067899549148026e-15|0.5154401745466506|2.4997788678289814e-15|0.5154401745466592
Quercus caducifolio|0.4010948924279806|0.03555233491820643|0.05010633541704235|0.48675356276322934
Salix|0.23698485781353062|0.007437232535991054|0.2063309936239297|0.4507530839734514
Fabaceae|0.1733632523170932|0.03728679218046914|0.17808374374340225|0.3887337882409646
Plantago|0.013331149648361356|0.17388429065242128|0.19402001532263438|0.381235455623417
Ericaceae|0.16793534330080678|0.020915044311001146|0.1797034812414007|0.3685538688532086
Cichorioideae|0.04455893607652942|0.1419745009071845|0.17917357461352074|0.3657070115972346
Helianthemum|0.002614081443019727|0.13260246919834034|0.22740792994932335|0.3626244805906834
Cardueae|0.20038161049764353|3.493559336209769e-19|0.15911677340187044|0.35949838389951394
Cistaceae|0.0007408647209291195|3.493559336209769e-19|0.3579824108771462|0.3587232755980753
Alnus|0.290743056837208|0.048657449794934915|0.01833553082430409|0.35773603745644705
Ephedra distachya|0.14088142803827133|3.493559336209769e-19|0.208166784308866|0.34904821234713734
Ulmus|0.036504002120926186|0.02169649624891573|0.2864325412706788|0.3446330396405207
Cerealia type|6.067899549148026e-15|0.31391384623363344|0.025705259845600074|0.33961910607923956
Artemisia|0.17346392519176196|0.10374353230741713|0.06206060607348066|0.33926806357265976
Corylus|0.12940876060879297|0.0361012744305948|0.1457436888419858|0.31125372388137357
Galium|1.2742589053210856e-13|0.06295932960084029|0.23392318473494986|0.29688251433591756
Trifolium type|0.28355203788260086|0.012371308900184204|5.999469282789555e-14|0.2959233467828451
Brassicaceae|0.1464453157995635|1.048067800862931e-17|0.14686161047307358|0.2933069262726371
Rubiaceae|0.04976239162484671|1.048067800862931e-17|0.24221038465657674|0.2919727762814235
Apiaceae|0.1441206972673237|3.7511807704205483e-10|0.145522017300604|0.2896427149430458
Sedum|0.1912111328085565|0.07038273474886236|0.02040770137739343|0.2820015689348123
Rosaceae|0.19977160214726036|0.010149258976933296|0.06206060607348066|0.27198146719767435
Fraxinus|0.2630549024189856|3.493559336209769e-19|2.4997788678289814e-15|0.2630549024189881
